,title,salary,company,description,location
693,Data Cleansing Analyst -Title,"$100,000 - $125,000 a year",DiamondPick,SAP MD/ SD Consultant with minimum 3-4 years of experience · Has exposure to SAP media Industries · Has good knowledge of SAP Media Title Master Management ·…,Remote
694,Business Analyst Level 3,$65 - $72 an hour,Spruce,"*3+ years of business analyst experience, project manager, product manager, portfolio manager*. The role will include digging deep into complex data, and coming…",Remote
695,Business Analyst,$50 - $55 an hour,DatamanUSA,Business Analysis experience specific to System Implementations Required 5 Years Prior experience with student information systems Highly desired 3 Years.,Remote
696,Business Analyst,"$78,000 - $83,000 a year",PLACE,Working knowledge of SQL and data visualization software such as PowerBI and Tableau. Create business trackers for each new PLACE team using Google Sheets and…,Remote
697,Business Analyst,"$75,000 - $80,000 a year",The GSH Group,Due diligence activities and in-depth analysis for acquisitions and existing projects. Conduct market research utilizing internal and external resources.,"Clawson, MI"
698,Junior Business & Data Analytics Agent (Hybrid),"$52,000 - $60,000 a year",IT Asset Management Group,"Daily checkout data analytics and inventory control checks. QA Testing records, data validation, and reuse plan records. 401(k) with company matching.","Farmingdale, NY"
699,"Data Analyst, Finance",,Purdue University,"As the Data Analyst, you will be responsible for maintaining master data, analyzing, and reporting financial data. FLSA: Exempt (Not Eligible For Overtime).",Remote
700,Data Analyst - Spotfire Experience,$29 - $31 an hour,Stefanini Group,"This position will own Market actuals data for the client. Supply market data and perspectives on market trends and forecasts. Job Types: Full-time, Contract.",Remote
701,Data Analyst I,,International Center for Language Studies,"Assist in developing interactive data visualization tools to make data readily available to stakeholders. Draft SLS-wide policies, processes, and systems for…","Arlington, VA"
702,Data Analyst,,Medicom,Aide in building relationships with our data provider teams to work with their staff on data curation. 5+ years of experience working in a data warehouse…,"Raleigh, NC +1 location"
703,Sr. Data Analyst - Remote,,Sharecare Inc.,"3-5+ years of experience in a data management, analysis, and/or reporting field required. Proactively monitors incoming data for trends.","Atlanta, GA"
704,Material Data Analyst,,Material Bank,"Proficiency in Excel and ability to quickly learn data management tool. It is critical that the candidate is comfortable navigating, normalizing, and organizing…","Boca Raton, FL"
705,Data Analyst,,eTeam Inc.,"Acquire data from primary or secondary data sources and maintain databases/data systems. Interpret data, analyze and process data.","Cupertino, CA +7 locations"
706,Senior Data Analyst,,Billie,3+ years working in data and analytics. Experience with R or Python for data analysis. Eagerness to build a best-in-class data practice.,"New York, NY"
707,Health Data Analyst,,Nuna,"Nuna partners with healthcare payers, including government agencies and health plans, to turn data into learnings and information into meaning.","San Francisco, CA"
708,"Data Analyst, Merchandising","$47,404 - $80,000 a year","Motorcar Parts of America, Inc.",We are in need of a data analyst. Drive the collection of new data and the refinement of existing data sources. Effectively communicate findings to management.,"Torrance, CA"
709,Compliance Data Analyst *REMOTE*,,The Health Plan of West Virginia Inc,Integrate data from multiple sources to produce requested or required data elements to support NCQA initiatives. Attend on-site and virtual audits.,"Wheeling, WV"
710,Data Analyst,"$100,000 - $120,000 a year",Brahma Consulting Group,"Minimum of 3 years of data analysis experience. Ability to understand scope, objectives and technical specifications of data solutions.","Princeton, NJ"
711,Data Specialist,"$65,000 - $90,000 a year",Talon Metals Corp,"O Managing geoscientific data, with an understanding of geoscientific data capture, especially utilizing acQuire. Intermittent travel to site will be required.","Minneapolis, MN"
712,Business Analyst,,Innovee Consulting,"2+ yrs. of management consulting experience as a business analyst or in a similar role. 8+ yrs. of experience in business analysis, operations analysis, and/or…",Remote
713,Programmer and Data Analyst,"$65,000 - $75,000 a year",VVN,"Assists in developing stored procedures and routine data tasks on our 300 million row voter database on MySQL, enhanced with data from field contact work as…",Remote
714,Senior Business Analyst/Data Analyst,,Solvenyle Technologies,Understand and examine healthcare data received from different applications/vendors & build the data modeling/mapping for converting the raw Healthcare data…,Remote
715,Senior Data Analyst,,Match Group,Familiarity with data science concepts (preferred). Proficiency in SQL in a big data environment. Proven ability to solve complex analytical problems and…,"New York, NY"
716,"Data Analyst III, Finance - Remote","$115,000 - $130,000 a year",Mint Mobile,Validate data flow for our finance data pipelines. Assist members of the Strategic Analysis group in the collection and organization of data for financial…,"Costa Mesa, CA"
717,Senior Data Analyst,,The Black Tux,Collaborate with data engineering to ensure that we have accurate sources of truth data to serve needs across our organization.,Remote
718,Logistics Data Analyst (Hybrid Schedule),,Toyo Tires,Ability to understand data models and assist with data management. Analysis work will include data gathering and modeling to implement business solutions.,"Ontario, CA"
719,Data Analyst - HR,,Resia,"Ensures compliance with data privacy regulations and best practices. Prepares reports of data results, presenting and explaining findings to senior leadership.","Miami, FL"
720,P&C Insurance Business System Data Analyst,"$125,000 - $150,000 a year",Piper Companies,Piper Companies is seeking a REMOTE Business System Analyst (BSA)- Property Insurance & Casualty Insurance (P&C) is responsible for collaborating with the…,Remote
721,Business Analyst (Mid-Level),"$90,000 a year",ServBeyond Solutions,"Minimum 3 years’ experience as Business Analyst; Scrum Master experience preferred. Company pays 50% for health and dental insurance, and 100% for short-term…","Columbia, MD"
722,Business Analyst e-Commerce,,Nucleus Healthcare,"For projects identified in the Digital Services organization, this individual will be responsible for developing user stories and business requirements for…",Pennsylvania +1 location
723,Data Analyst,,Kansas Department of Labor,"Work includes but not limited to assisting with data transfers, analysis, SQL programming, ETL and generalized data operations.","Topeka, KS"
724,Business Analyst,,Stream IT,5+ years of experience in Product Development/Change Management/ALM Domain as Business Analyst. The ability to work with colleagues and stakeholders to gain an…,"Auburn Hills, MI"
725,Data Analyst _ Real Time Communication,,TikTok,"Generate and effectively deliver data driven insights via storytelling to a diverse audience. Skilled in data manipulation with SQL, Python, R or other…","Mountain View, CA"
726,Transportation Data Analyst,,Energetics Careers,Creating data frameworks for automated data transfer. Characterizing data by removing proprietary information. Experience handling vehicle telematics data sets.,Remote +3 locations
727,Data Analyst,"$30,000 - $40,000 a year",GSS,"Taking part in master data quality improvement activities through analysis and remediation of data quality issues. Proficient with Excel, SQL and Tableau.","Orange, CA"
728,Senior Data Analyst (Remote),"$100,000 - $130,000 a year",EcoCart,Ability to develop and execute data analysis on different data models throughout the company. Some experience with data science.,"San Francisco, CA"
729,Data Analyst,,ADAPT Technology LLC.,Documenting contents in a data warehouse and meta-data storage. Advance level calculations on data sets: 3 years (Required).,"Troy, MI"
730,Business Analyst,$30 - $40 an hour,Ascent Solutions,"Must have US Healthcare experience working. Must have BA technical experience with API, Joint Application Design (JADs) meetings, architecture discussions and…",Remote
731,Senior Data Analyst,,Thentia,"Having a thorough understanding of data management, visualization, and data migration tools is very helpful for success in this role.","Oklahoma City, OK"
732,Software Business Analyst,"$80,000 - $100,000 a year",Accede,3 to 5 years of experience with at least 1 year supporting or *implementing Oracle Cloud Solutions* and/or *NetSuite certification*.,Remote
733,Risk Data Analyst,,Emonics LLC,"Hands-on development in Java and relational databases applying complex business rules, data transformation, aggregation and persistence of data for…","New York, NY"
734,Data Analyst,"$70,000 - $120,000 a year",LatentView Analytics,Analyze large and detailed data sets to make recommendations around follow-up tests. Visa status: OPT EAD / H4 EAD /GC EAD/H1 B Transfer / USC / GC*.,"San Jose, CA"
735,RECENT GRADUATES |Business Intelligence Analyst | PAID TRAINING,"$60,000 - $70,000 a year",PCS Global Tech,Collaborating with team members for the purpose of collecting data and executing the company’s mission. Developing and managing business intelligence solutions…,"Baton Rouge, LA"
736,Data Analyst - Children's Community Practices,,Nationwide Children's Hospital,"Proven track-record in data analytics, preferably in a hospital or medical practice. Prepare monthly income statements and balanced scorecards from data…","Columbus, OH"
737,Software Business Analyst I,"$70,000 - $95,000 a year",Input 1,"A minimum of 3 years’ experience in Business Analyst role. Remote Software Business Analyst with Input 1. BENEFITS: full benefit plan including paid time off,…",Remote
738,Program Management Office (PMO) Analyst,,A P Ventures LLC,Ability to analyze data and present the analysis in a format that facilitates problem-solving and decision-making. The Program Management Office (PMO) Analyst:,Maryland
739,Sales Operations Data Analyst | US Business & Sales Operations Team,,Microsoft,Proven working experience as a data analyst or business data analyst. (Understanding of existing Microsoft systems and data sources preferred).,"Bellevue, WA"
740,Health Data Analyst (Remote),,V2Soft Pvt Ltd,The analyst will be responsible for analysis and preparing claims data by looking up historical claims for procedure codes and data mining for appropriate…,"Detroit, MI"
741,Data Analyst,"$50,000 - $55,000 a year","Second Round, LP","Critical thinking – Able to derive insights and conclusions from the data and the trends within the data. Verify, extract, transform, append, and standardize…","Austin, TX"
742,Data and Policy Analyst IV,,"Acumen, LLC","Location: 500 Airport Boulevard, Suite 365, Burlingame, CA 94010 and various unanticipated locations throughout the US. Contact: To apply, please mail resume…","Burlingame, CA"
743,Business Analyst/Data Analyst,$25 - $27 an hour,TRESUME,"Includes expertise in data quality, data organization, metadata, and data profiling. Promote best practices by data analyzing and reporting.","Columbus, OH +1 location"
744,Data Entry Analyst,,"FAR Government,Inc.","Experience with databases, ability to understand relational data, as well as interpretation of related data. Commitment: Full-time position (40 hours weekly).","Washington, DC"
745,Data Analyst - Surface Equipment,,Halliburton,"Analyze large scale complex business data (time series data, structured/unstructured) from various data sources and draw insights.","Duncan, OK"
746,Data Analyst,,The Cheesecake Factory,Use data mining to extract information from data sets and identify correlations and patterns. You'll also investigate both structured & unstructured data to…,"Calabasas Hills, CA"
747,Data Analyst,,Care Solace,Help maintain the data offerings of the organization and ensure a smooth flow of data insights to key stakeholders. Hybrid including in office and virtual work.,"Cardiff-by-the-Sea, CA"
748,Data Analyst,$36.00 - $43.27 an hour,California Bioenergy LLC,Prepare project‐specific CI calculators and underlying data as well as other documentation as needed. Exceptional organizational skills and extraordinary…,"Costa Mesa, CA"
749,Sr. Finance Data Analyst,"$90,000 - $105,000 a year",IT Alliances Inc,"4-6+ years of statistical or data analysis experience. Support business initiatives through data analysis, identification of implementation barriers and user…",Remote
750,Data Warehouse Analyst,,CapB InfoteK,Comfortable in a complex data environment and understanding of data structures. Data Warehouse - Experience in requirements gathering for data warehouse.,"Madison, WI"
751,Data Analyst,,National Coordination Center,"Minimum of 3 years working experience in technical data analysis, data science, or data warehousing with proven business analysis experience.","Washington, DC"
752,Senior Data Analyst,"$113,000 - $144,000 a year",Hologram,"Experience organizing a data warehouse, normalizing data, and building data marts. Experience gathering & translating business data needs into data reports…","Chicago, IL +1 location"
753,Sr. Data Analyst,,Curaleaf,"Minimum of five (5) years directly related experience in data product management. Launch new data products to the defined user community, drive adoption of new…","Chicago, IL"
754,Business analyst with data engineering background,,Inspur USA Inc.,"Able to process and calculate data under changing and fast-pace circumstances. The BA will produce outline designs of IT requirements, processes, and analyze…","New York, NY"
755,Data Analyst - Remote,,ZYWAVE INC.,SME for DSP (data share partner) data questions. Answer and address any related data issues. Maintain data standards and structure by producing validation and…,"Milwaukee, WI"
756,Data Analyst,,Haven Technologies,"Acquire data from primary or secondary data sources. Identify data needs and gaps, and work with developers to devise solutions in data gathering, ingestion,…","New York, NY"
757,Financial Analyst II (Contract position with client),$35 - $41 an hour,UHY LLP,"Analyzes data and develops conclusions. This is a long term contract with a client. This position is working a hybrid schedule. Job Types: Full-time, Contract.","Detroit, MI"
758,Data Analyst,,BI WORLDWIDE,Advanced experience manipulating and exploring data. Conduct modeling and data analysis using multiple techniques and approaches.,"Edina, MN"
759,Transportation Planning Analyst - Data-Centric Planning,"$85,000 - $105,000 a year",High Street Consulting Group,"2 to 5 years of work experience in areas of transportation asset management or long-range transportation planning, and Master’s in transportation planning,…",Remote
760,Data Warehouse Analyst,$70 - $75 an hour,"Brandt Information Services, LLC",Ensures data warehouse metadata is collected and maintained. Extensive knowledge of data warehouse and data mart concepts. Power BI: 3 years (Required).,"Tallahassee, FL"
761,Trade Finance Data Analyst - Remote (CST),$18.50 - $33.65 an hour,CVS Health,Maintaining various Industry Analysis data and data sources. 1+ years of data entry or relevant work experience. A small amount of travel may be required.,"Northbrook, IL"
762,"Analyst, People (HR) Analytics",,Saks Fifth Avenue,"Design, develop and deliver customized and interactive dashboards, utilizing our existing People (HR) data and combining with other data sources, including data…","New York, NY"
763,Data Analyst,,Verato Inc.,"Conduct exploratory data analysis on supplied datasets and evaluate data quality for completeness, accuracy and potential bias.",Virginia
764,Business Intelligence Data Analyst,"$70,000 - $90,000 a year",Red Stag Fulfillment,The analyst will be responsible for delivering effective data structures that will enable data visualization solutions to support data-driven decision making.,"Knoxville, TN"
765,Big Data Analyst,,Novo ProSo,Build analytical solutions and models by manipulating large data sets and integrating diverse data sources. Perform exploratory and targeted data analyses using…,"Warrensburg, MO"
766,Data Analyst,,Cubic Corporation,Job Summary: Solves complex problems using data analysis techniques throughout the entire data life cycle. Works with public and proprietary data to find new…,Remote
767,Sr. Data Analyst - Remote,,Appcues,"Be our internal champion of product data analysis; mine data for insights, help the product team with testing and validation of hypotheses about customer…",Remote
768,Data Analyst,,"Logan Services, Inc.",Create reports using data/stats to provide marketing team with solid planning for immediate/future growth initiatives.,"Dayton, OH"
769,Data Analyst,,"Lakeshore Learning Materials, LLC","As a data guru, you will drive complex data reporting and troubleshoot data integrity issues. 3 years of experience in data entry and management, statistical…","Carson, CA"
770,Data Analyst,"$54,361 - $90,149 a year",Binary tech consulting corp,"Looking for a Data Analyst with minimum of 6 month of experience or strong knowledge of the Data Analyst concepts like, Data visualization , SQL Queries , R ,…","Naperville, IL"
771,"Sr. Data Analyst, Fraud",,Instacart,"Ability to write complex and performant queries in your dialect of SQL to extract data from our data warehouse (Hive, Snowflake or Presto experience a plus).","San Francisco, CA"
772,Data Analyst,"$52,001 - $79,000 a year",Universal Service Administrative Company,You have proven experience working with data warehouse in databases using SQL and programming languages for data science such as R or Python (or a demonstrated…,"Washington, DC"
773,Data Analyst,,LOCKHEED MARTIN CORPORATION,Experience working with / across multiple data sources to provide data solutions based on business requirements.,"Bethesda, MD +2 locations"
774,Data Analyst,,"PitchBook Data, Inc.",1-2 years of experience in a Data Analyst role with a focus on building data dashboards and/or analyzing large data sets to solve problems.,"Seattle, WA"
775,Data Analyst (Open Rank),,New Meridian Corporation,Responds to requests for data and data interpretation. Responsible for identifying the resolution of data-related problems and evaluates data for reasonableness…,"Austin, TX"
776,Data Analyst Entry Level (Bootcamp),"$60,000 - $70,000 a year",Helm360,"Acquire data from primary or secondary data sources and maintain databases/data systems. Technical expertise regarding data models, database design development,…","Knoxville, TN +1 location"
777,Business Analyst,"$130,000 - $140,000 a year",Long finch technologies,"Analyze data using Excel, reports, and other tools to ensure data quality and accurate calculation results. Understanding of Risk & Controls domain is required.","Auburn Hills, MI +1 location"
778,Financial Data Analyst - Fluent in Mandarin,,Rapid Ratings,"Bachelor’s degree (or equivalent) with 1-3 years of work experience. This role will gain a deeper knowledge of business industries, financial statement nuances,…","Quincy, MA"
779,Junior Business and Data Analyst,,Utilisave,"1-3 years work experience in one or more of the following areas: rates modeling, energy policies, financial, cost analysis, auditing.","New York, NY"
780,Data Analyst with Banking Domain Exp.,"$70,000 - $90,000 a year",Kani Solutions INC,"Should have worked in handling data, preparing reports using Excel or any other data tool. Should have good experience working as a Data Analyst with Banking or…","Irving, TX"
781,OSD Financial/Data Analyst,"$52,305 - $119,548 a year",ANSER,"Microsoft Excel: 5 years (Preferred). Experience using the Microsoft Office suite, particularly data analytics within Excel and developing briefing material…","Washington, DC"
782,Associate EDI Analyst,"$55,000 - $80,000 a year",HMS,"Manage and coordinate source data, electronic data, and cycle processing data. Experience with moving data between various platforms required.",Remote
783,Clinical Applications Analyst,,North American Partners in Anesthesia,Ability to analyze data and make recommendations. Hold access to employee and organizational data in strict confidence. Application support: 3 years (Required).,Remote
784,Sr. Data Analyst,,Tombras,Interpreting media marketing data and analyze its effects on KPIs and ROI. 401(k) Participation + 3% employer match.,"Knoxville, TN +1 location"
785,"Data Analyst, Core Analytics",,Blizzard Entertainment,"Demonstrated experience with some or all of the following: data modeling, data visualization, statistics. Write effective queries against big data sources that…","Irvine, CA"
786,ServiceNow Business Analyst,$75 - $85 an hour,Alldus International Consulting Ltd,5 - 10 years of ITSM experience with progressively higher levels of responsibility. Identifying areas of ITSM process improvement (efficiency and effectiveness)…,"New York, NY +1 location"
787,Business Analyst,$31.43 - $58.31 an hour,Unity Systems,Creates data models and written reports. Client is looking for a Business Analyst II with at least three years of experience to support multiple business…,"Boston, MA"
788,"Analyst II, Data Analyst",,First National Bank of Omaha,"This may include working to extract, manipulate, and summarize large amounts of data to provide business insight and intelligence to assigned business units.","Omaha, NE"
789,Jr. Data Analyst,"$58,294 - $61,617 a year",Binary tech consulting corp,"3-5 years experience in data engineering. 3-5 years in software development. 3-5 years experience in test automation. Troubleshoot, debug and upgrade software.","Naperville, IL"
790,Senior Health Care Data Analyst,,EmblemHealth,"In lieu of a Bachelors’ degree and 5 years of experience as stated, we will accept a Masters’ degree in one of the stated fields and 3 years of work experience…","Farmington, CT"
791,Data Warehouse Analyst,$45 - $53 an hour,Softnice Inc,(5) Perform data conversion from OLTP to DW using tools like SSIS/Data Factory*. (3) Creates data warehouse components using best practices methodologies*.,Remote
792,Data Analyst,$65 - $70 an hour,Brilliant Infotech,"By understanding enterprise data, business processes, and collaborator needs. Develop methodologies that allow for efficient and repetitive data extraction and…",Remote
793,Data Analyst,,PayPal,Expert knowledge of data modeling concepts; experience with data modeling and generating metadata to support relational & non-relational database…,"Timonium, MD"
794,Data Analyst,,Ramaz School,"Analyze, audit and modify data to assure data quality. Assure data integrity through analysis and modification of data during and after migration.","New York, NY"
795,Senior Business Analyst,$60 - $79 an hour,NOVON Consulting,Looking for experience in the Financial Services industry. Facilitates activities and workshops to elicit requirements. Business analysis: 6 years (Required).,Remote
796,Business Analyst Strictly on our W2(Only US citizens),$45 - $50 an hour,Interon IT Solutions LLC,"Suggesting processes for filling any data or analysis gaps. Help to structure agenda for subject area of team focus. Development of reports,BRD,FRD.",Remote
797,Lead Data Analyst,$80 - $90 an hour,DivIHNSoft,"This consists of building the ETL pipelines for bronze, silver, and gold assets, developing data quality metrics, and creating solutions to serve the data to…","Lisle, IL"
798,Jr. Business Data Analyst,,RISK STRATEGIES COMPANY,Understanding the data and workflow needs of the business and how to translate the data in order to meet those needs. Ability to operate in US time zones.,"Boston, MA"
799,Data Analyst - DA22-03375000000,,"Evergreen Technologies, LLC.",Experience in data analysis and working with large data sets. Data/business analyst role on system enabled transformation projects.,"Queens, WV +13 locations"
800,Financial Analyst,"$80,000 - $110,000 a year",Delta,Qualified candidates will bring experience in determining logic / rules to apply against large data sets to identify where data appears to be an outlier.,"Charlotte, NC"
801,"DATA ANALYST, ANTIMICROBIAL RESISTANCE",,University of Washington,"Bring together data, analytic engines, and data visualizations in one seamless computational process. Create and document efficient, effective, and replicable…","Seattle, WA"
802,Market Analyst,"$75,000 - $110,000 a year",Wayspring,Analyze data and create materials for both internal presentations and meetings with Wayspring’s health plan partners. 0-3 years of relevant work experience.,"Nashville, TN"
803,Energy Policy & Data Analyst,,Concurrent Technologies Corporation,"Develop and analyze large data sets related to installation energy. Design scalable and innovative solutions for strategic planning, risk assessment and…",Remote
804,Sales Data Analyst,"$48,000 - $60,000 a year",Eastern Wholesale Fence LLC,Assist in loading data into the proper format for pricing projects. Prepare reports using data from multiple sources including spreadsheets and ERP systems.,"Medford, NY"
805,AOT Data Analyst I - Central Garage,$24.93 an hour,State of Vermont,"Two (2) or more years of experience in data science, data analysis, engineering, Geographic Information Systems, or other closely related field.","Berlin, VT"
806,Data Analyst,"$72,100 - $82,400 a year",University of Florida,"In accordance with data governance plan, set priorities and strategies for incorporating new sources of data into the data repository.",Florida
807,Energy Data and Markets Analyst,"$55,000 - $65,000 a year",Bridge Energy Services,Bridge Energy Services (BES) is seeking a data analyst with educational or work experience with energy and utilities data. 1-2 years’ work experience preferred.,"East Hartford, CT"
808,HR Data Analyst,,G5 Entertainment,"Form HR data collection needs, develop data collection concepts. Knowledge of R and experience in using this language to work with data.",Remote
809,Business Intelligence Analyst - ENTRY LEVEL - (PAID BOOTCAMP),"$60,000 - $70,000 a year",PCS GLOBAL TECH,Collaborating with team members for the purpose of collecting data and executing the company’s mission. Developing and managing business intelligence solutions…,"Richmond, VA"
810,Data Analyst,,Arkestro,Willingness to immerse yourself in a data science studio for collaborative data analysis. Monitor and edit the Arkestro application data model.,"San Francisco Bay Area, CA"
811,Business Analyst,,Arthur Grand Technologies Inc,"Greetings, Hope you are doing good!!! *Role: Business Analyst - Alternate Investment * *Location: Remote * *Duration: Long-term Contract* *Job…","McLean, VA"
812,Statistical Data Analyst,"$45,000 - $50,000 a year",State of Georgia,Ability to determine and map source to target data and documents data cleansing rules. Experience working with large data sets.,"Atlanta, GA"
813,"Analyst, Product Research/Analyst I, Data Science (remote)","$69,400 - $126,200 a year",Liberty Mutual Insurance,"Work with massive amounts of data (e.g., 200 million records for our Liberty-brand Auto product) to build sophisticated models.",Remote
814,Data Analyst 2,$50 - $60 an hour,comtec info systems,Generates actionable knowledge from data. Data analyst: 4 years (Preferred). Understands the general problem space and is confident in explaining the different…,"Chandler, AZ"
815,Epidemiologist/Data Analyst,"$54,000 - $59,000 a year","HCH Enterprises, LLC",This position will serve as a general epidemiologist/data analyst focused on an assigned subgroup (ex. school or congregate care populations) or data component …,Remote
816,Senior Business Analyst (Remote),"$115,000 a year",Pinkerton,"Perform data discovery, analysis and modeling. Demonstrated problem solving experience providing business insights and recommendations from data sets.",Remote
817,Seismic Data Analyst,,California Institute of Technology,"Experience in analysis of seismic or other geophysical data, a plus. Participate in monitoring the state of health of seismic stations, including…","Pasadena, CA"
818,Health Data Analyst,,The Chautauqua Center,"Acquires data from primary and secondary data sources (i.e. claims data, EHR). Purpose: Collecting, compiling, organizing, and analyzing data in accordance with…","Jamestown, NY"
819,Business Analyst II- Remote,$70 - $78 an hour,HCL America Inc,"Produce elements of systems design, including data migration rules, business rules, wireframes, mockups, workflows, or other detailed deliverables.","Charlottesville, VA"
820,Business Analyst,"$70,000 - $90,000 a year",Avionte Software,"3 or more years of business analysis experience. Creative thinker with vision and attention to detail. Experience creating business process flows, data flows,…",Remote
821,"Business Analyst, Quality of Service","$57,400 - $94,300 a year",DISH,"Our ideal candidate will have project management experience and great attention to detail. Evaluate technician dispatch data, number of dispatches, reasons,…","Englewood, CO"
822,Trauma Data Analyst - Trauma Services - Full Time - Days - Remote,,ProMedica,Generate statistical analysis on trauma data for research purposes. Demonstrated experience in data base management/analyzing programs.,"Toledo, OH"
823,LiDAR Data Analyst,"$45,000 - $55,000 a year",Skytec,Conducts data reporting and closely follows data management practices defined and directed by senior data team management.,"Chattanooga, TN"
824,Material Data Analyst,,Material Bank,"Proficiency in Excel and ability to quickly learn data management tool. It is critical that the candidate is comfortable navigating, normalizing, and organizing…","Boca Raton, FL"
825,Healthcare Data Modeler and Analyst,,"Perficient, Inc","Collaborate with Healthcare analytics business and data SMEs to profile, analyze, and model data, including creating logical mapping of source data into target…",United States
826,Business Analyst,,IHC Group,You will work alongside our experienced business analysts who will help mentor you in our processes. 1-3 years experience in an office/corporate environment…,"Akron, OH"
827,Data Analyst I,,CMS Energy,"Manage data set in Microsoft CRM and SQL environment, proactively detect data gaps and ensure data accuracy. Support sales team to resolve technical issues and…","Livonia, MI +1 location"
828,Business Analyst,$85 an hour,Telnet Inc,Full-time professional Information Technology Project Development experience and/or Function/Business Process Analysis with at least one (1) year of experience…,Colorado +1 location
829,Data Analyst,"$4,699 - $6,667 a month",Dept of Family & Protectve Svc,Explain data and analysis in a way that is understandable to those with limited data knowledge or experience. Ability to travel (up to 5%).,"Austin, TX"
830,"Health Data Analyst, Senior",,Health Quality Innovators,"Familiarity with analyzing health data sets, public or private, such as Medicare claims data, Nursing Minimum Data Sets, Care Compare data.",Remote
831,Data Analyst I,$32.00 - $33.33 an hour,Tellus Solutions,"Quality check of the data received. Organize, track and keep records of the data received. Contribute towards infrastructure development for large file…","South San Francisco, CA +2 locations"
832,Healthcare Business Analyst,$48 - $50 an hour,X2Logics,We are looking for a Business Analyst who will be for understanding stakeholder needs and business issues to be addressed in the Claims processing.,Remote
833,Data Warehouse Business Analyst,,Peraton,"Bachelor's degree with 5-7 Years of experience, Master's degree with 3-5 years experience, PhD with 0-2 years of experience.","Baltimore, MD"
834,OBGYN Data Analyst,"$42,000 - $65,000 a year",Valley Presbyterian Hospital,"At least two years’ experience conducting descriptive data analysis, summarizing data and creating reports. The Data Analyst will also trouble-shoot data system…","Van Nuys, CA"
835,Master Data Analyst (Hybrid),,Welltower,"Proven ability to manage and gather data across multiple systems and data sets. Ensure quality of master data in key systems, as well as development and…","Toledo, OH"
836,Sr. Analyst- Data Analytics,,Amex,"Experience in Big Data required and Tableau is a plus, encompassing data manipulation and data mining techniques.","New York, NY"
837,Business Data Analyst,,IT alliances,You will be part of a squad of data professionals with a combined skill set to successfully deliver on a broad range of data related projects and activities to…,"New York, NY"
838,(Jr) Quantitative Analyst / Data Scientist,,TrueChoice Solutions,"Support the organization on all projects and tasks related to analytics, quantitative analyses and data science. Develop client-facing analytics dashboards.","Vienna, NY"
839,Data Analyst,"$40,000 - $65,000 a year",ThoroughCare,"The ideal person also has an exceptional eye for detail, expertise as a data analyst, and a solid understanding of popular data analysis tools.","Pittsburgh, PA"
840,Systems & Data Analyst - 3 (Virtual),"$64,890 - $120,510 a year",BOEING,"Knowledge of OEM systems & data compatibility preferred. 3 years or more experience in government-issued navigation data documents (AIP, AIP AMDT/SUP, AICs, FAA…","Englewood, CO"
841,Data Specialist,,Relation Insurance,Responsible for data conversion and merger activities including ensuring quality and accuracy of data mappings. Provides weekly status reports to management.,Remote
842,Data Analyst,,A P Ventures LLC,5+ years of data analysis experience required. Structure large data sets to find useful information. Collaborate with team members to collect and analyze data.,Maryland
843,eDiscovery Analyst,"$80,000 - $90,000 a year",VL Infotech Inc,"Review and analyze data around litigation, investigations, government requests, etc. Five years of relevant experience in e-Discovery required.",Remote
844,Sr. Data Analyst - Telecommute,"$82,100 - $146,900 a year",Optum,"5+ years of experience with large data analytics, data management, extraction and analysis of claims, membership data from data warehouses, data lake/ Snowflake…","Cypress, CA +8 locations"
845,Data Editing Analyst,"$55,000 - $70,000 a year",AES Corporation,"Expertise in data editing and processing, with a keen eye for seeing and developing processes to detect bad data. Familiarity with DAS and SCADA systems a plus.","Louisville, CO"
846,Data Analyst,,Rocket Mortgage,Understanding of data mining or other techniques to scrub data. 2 years of experience using SQL or other querying languages to create data sets and perform data…,"Detroit, MI"
847,Broadband Data & GIS Analyst,"$85,000 - $105,000 a year",Kansas Department of Commerce,"Experience collecting and processing geospatial data, and using the data for map making. Apply GIS principles to support the mission of universal broadband…","Topeka, KS"
848,Data and Research Analyst,"$60,000 - $75,000 a year",Kansas Department of Commerce,Assist Lead Data Analyst and rest of data team in maintaining data standards and access as well as other data team responsibilities pertaining to the agency.,"Topeka, KS"
849,Data Analyst - Media,"$100,000 - $120,000 a year",C&G Consulting Services,Work within large datasets or a data lake to pull data for advanced analysis across multiple datasets and inputs.,"Teaneck, NJ"
850,Data Analyst (Cloud),,Castellum Inc,"Requires BS with 10-12 years, MS with 8-10 years or PhD with 5-7 years; Will consider: HS +11-14 Years, BA/BS 5-10 Years, or MA/MS +3-6 Years.","Fort Lewis, WA"
851,Clinical Research Data Analyst-Engineer,,Boston Medical Center,"Help researchers understand the data available, work with them to understand their data requirements, and meet their data needs.",Remote
852,Remote Business Analyst,$60 - $65 an hour,Integration Developer Network LLC,"Experience with Crossdocks/UI data base items. Bachelor’s Degree in a Computer, Mathematics, or Business-related field or relevant work experience.",Remote
853,Inventory Deployment Analyst D2C,,Carhartt,"Assoc. Planner will continuously analyze data, correlating historical and current trends provide regular communication and visibility of risks and opportunity.",Remote
854,Data Analyst/Customer Support,,WheresTheBus LLC,"Ensure implementation is operational, all data is being received, and system information entered. Must be able to take massive amounts of data, organize, sort,…","Acton, MA"
