,title,company,salary,location,jobtype,qualifications,benefits,description
579,Sr Data Engineer - Machine Learning (Remote or HQ),Target,"Estimated: $110,000 - $150,000 a year","Brooklyn Park, MN ",Full-time,"Data modeling
SQL
Cassandra
C++
DevOps
Bachelor of Science
Bachelor's degree",,"Good understanding of SQL with experience in data modeling. BS degree in Computer Science, Mathematics, Statistics, Physics, other quantitative field related to…"
580,Data Engineer,PENTAX Medical,"Estimated: $90,000 - $120,000 a yearQuick Apply","Montvale, NJ ",3 days ago,"Writing skills
Communication skills
Azure
Database administration
Bachelor's degree","Paid time off
Health insurance","The engineer is responsible for overseeing the entire database infrastructure, connectivity from Microsoft Dynamics and Synapse to external data sources, and…"
581,Data Engineer,Citizen Data,"Estimated: $94,000 - $120,000 a yearQuick Apply",Remote ,Full-time,"SQL
Tableau
Cloud architecture
Data visualization
Google Suite","Unlimited paid time off
Dental insurance
Health insurance
Work from home
Paid time off",The ideal candidate will have experience with cloud architecture or data engineering experience as well as strong data manipulation and data analysis skills.
582,"Data Engineer, Personalization",Spotify,"Estimated: $100,000 - $130,000 a year","Boston, MA ",,,,"Engineering Data The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Blend to Discover Weekly, we…"
583,Data Engineer,Mortgage Investors Group,"Estimated: $71,000 - $95,000 a year","Knoxville, TN ",,,,Description: JOB DESCRIPTION DATA ENGINEER We are looking for a Data Engineer to join our growing team. The hire will be responsible for expanding and…
584,"Data Platform Engineer, Big Data",Toyota,,"Plano, TX ",5 days ago,"Bash
Manufacturing
SQL
Shell Scripting
DevOps
Bachelor's degree","Health insurance
401(k)
Flexible spending account
401(k) matching
Tuition reimbursement","Who we’re looking for Toyota’s Data and Analytics Department is looking for a passionate and highly motivated Data Ops Engineer, Toyota Big Data Platform.…"
585,Data Engineer,FCA,"Estimated: $77,000 - $110,000 a year","Auburn Hills, MI ",,,,"The Data Engineer's work will be building, managing and optimizing data pipelines and then moving these data pipelines effectively into production for key…"
586,Data Engineer (Open to Remote),BAXTER,"Estimated: $110,000 - $140,000 a year","Deerfield, IL ",Full-time,"Bash
SQL
Shell Scripting
DataStage
Control-M
Bachelor of Science
Bachelor's degree",,"This is where you save and sustain lives At Baxter, we are deeply connected by our mission. No matter your role at Baxter, your work makes a positive impact…"
587,Data Engineer (Remote),Commonwealth Care Alliance,"Estimated: $90,000 - $130,000 a year","Boston, MA ",,,,"Dealing with data governance, such as documentation, data integrity/quality and data security. Make changes on the existing data system to optimize and improve…"
588,Data Engineer - 100% Remote,Automobile Club of Southern California,,"Costa Mesa, CA ",Full-time,"Bash
Data modeling
Shell Scripting
C++
TFS","Wellness program
Dental insurance
Employee discount
Health insurance
401(k)","They will play a critical role on the team developing data pipelines for ingestion and enablement in data warehouses, data lakes and public/private cloud…"
589,AWS Data Engineer,Infosys,"Estimated: $92,000 - $130,000 a year",Remote ,,,,Infosys is seeking a AWS Developer with experience in native AWS components and Big Data. The position will primarily be responsible interface with key…
590,Senior Data Engineer - Data Pipelines & Data Science Platforms,S&P Global,"$68,300 - $155,900 a year","Magna, UT +33 locations",,,,"The Role: Data Engineer Location: Team is in Boston, but is available for remote or on-site throughout the US. GL (for internal use only): 10 Panjiva is a…"
591,Lead Cloud Data Engineer,Voya Financial,"Estimated: $98,000 - $140,000 a year","Hartford, CT ",Full-time,"Azure
Shell Scripting
Financial services
UNIX
Communication skills
Bachelor's degree","Dental insurance
Health insurance
401(k)
Cash balance pension plan
401(k) matching","Together we fight for everyone’s opportunity for a better financial future. We will do this together — with customers, partners and colleagues. We will fight…"
592,Data Engineer,SpartanNash,,"Algonac, MI +16 locations",,,,"At SpartanNash, we deliver the ingredients for a better life through customer-focused innovation. We do this for our supply chain customers and U.S. military…"
593,Data Science Engineer,BorgWarner,,"Auburn Hills, MI ",Full-time,"ADAS
Computer skills
MATLAB
Algorithm design
Communication skills
Doctoral degree
Master's degree
Doctor of Philosophy",,"This position is in the Corporate Advanced Technology Development team, which is a part of the Chief Technology Officer organization and is based at BorgWarner…"
594,Data Engineer (Engineering),Morgan Stanley,,"Alpharetta, GA ",Full-time,"Analysis skills
Perl
SQL
Spark
DataStage
Bachelor of Science
Bachelor's degree",,"Data Engineer (Engineering) Job Number: 3178957 POSTING DATE: May 17, 2022 PRIMARY LOCATION: Americas-United States of America-Georgia-Alpharetta EDUCATION…"
595,"Data Engineer - Streaming, AWS Professional Services","Amazon Web Services, Inc.","$131,300 - $177,600 a year",North Carolina +19 locations,Full-time,"Project management
Data modeling
Azure
Spark
Apache
Bachelor's degree
Master's degree","Health insurance
Flexible schedule","At Amazon Web Services (AWS), we’re hiring highly technical streaming data engineers to collaborate with our customers and partners on key engagements."
596,Data Engineer,Mindtree Limited,"$75,128 - $171,298 a yearQuick Apply","Atlanta, GA ",Full-time | Contract,"SQL
Python
Data warehouse
Informatica
US work authorization",,Run data profiling and produce data quality reports. Analyze and organize raw data. Build data systems and pipelines. Evaluate business needs and objectives.
597,Lead Data Engineer – Real-Time Data pipelines – 100% remote,Mainz Brady Group,$70 - $99 an hourQuick Apply,Remote ,Contract,"SQL
Spark
Leadership
Python
Kubernetes","Dental insurance
Health insurance
401(k)
Vision insurance","Our Portland, OR client is looking for a LEAD data Engineer with strong experience building real-time data pipelines in either Kafka or Kinesis."
598,Big Data Engineer,Experfy Inc,"Estimated: $130,000 - $160,000 a yearQuick Apply",Remote ,Contract,"SQL
Spark
Apache Hive
Tableau
Shell Scripting
Bachelor's degree",,"Strong SQL knowledge and data analysis skills for data anomaly detection and data quality assurance. Develop fast data infrastructure leveraging data streaming,…"
599,"Software Engineer, Data (Remote)",Lime,"$108,000 a year",United States ,Full-time,"Relational databases
Data modeling
SQL
Spark
Big data",,"Ensure all data systems i.e. our central data warehouse, data lake, ETL, and realtime processing uptime satisfy business requirements."
600,Data Analytics Engineer,GS1 US,"Estimated: $84,000 - $110,000 a year","Ewing, NJ ",Full-time,"Power BI
Communication skills
Azure
Product management",,"From data extraction and curation to data visualizations, you will directly impact our operations and drive change as we modernize our data platform using the…"
601,"Data Engineer, Business Intelligence",Cardinal Health,"$88,500 - $126,400 a year",United States ,3 days ago,"Cognos
CSS
SQL
Microsoft Excel
SSIS
Bachelor's degree","Health insurance
401(k)
Disability insurance
Paid time off","Understands current data context, processes and availability, and how current data processes and existing data can be leveraged to achieve the desired benefits."
602,"Data Platform Engineer, Big Data",Toyota,,"Plano, TX ",5 days ago,"Bash
Manufacturing
SQL
Shell Scripting
DevOps
Bachelor's degree","Health insurance
401(k)
Flexible spending account
401(k) matching
Tuition reimbursement",Develop innovative frameworks to automate data pipeline testing to meet the business expectation and improve the data quality. Added bonus if you have.
603,Data Science Engineer,BorgWarner,,"Auburn Hills, MI ",Full-time,"ADAS
Computer skills
MATLAB
Algorithm design
Communication skills
Doctoral degree
Master's degree
Doctor of Philosophy",,"Experience with automotive data buses, such as CAN; Support system-level algorithm integration and testing, including analysis of resulting data."
604,Data Engineer,Alpha Medical,"$120,000 - $150,000 a year",Remote ,7 days ago,"Python
Redshift
AWS
ETL","Paid time off
Dental insurance
401(k)
Health insurance
Vision insurance",Experience building automated data validation tools. Develop data interfaces to exchange information with third party sources.
605,Data Engineer,PENTAX Medical,"Estimated: $90,000 - $120,000 a yearQuick Apply","Montvale, NJ ",3 days ago,"Writing skills
Communication skills
Azure
Database administration
Bachelor's degree","Paid time off
Health insurance","The engineer is responsible for overseeing the entire database infrastructure, connectivity from Microsoft Dynamics and Synapse to external data sources, and…"
606,Data Engineer,"Menusifu, Inc.",Quick Apply,"New York, NY ",Full-time,"Technical writing
Predictive analytics
Node.js
MongoDB
Data collection
Bachelor's degree
US work authorization","Dental insurance
Health insurance
Paid time off
Flexible schedule
Referral program",Acquire data from primary or secondary data sources and maintain databases/data systems. Perform data validation and consistency checks.
607,Infrastructure Engineer (Data Center Operations),Acronis,"Estimated: $92,000 - $120,000 a year","Bellevue, WA +4 locations",,,,3+ years of prove data center engineering experience. Coordinate with data center smart hands and contractors all the works with hardware equipment.
608,Lead Cloud Data Engineer,Voya Financial,"Estimated: $98,000 - $140,000 a year","Hartford, CT ",Full-time,"Azure
Shell Scripting
Financial services
UNIX
Communication skills
Bachelor's degree","Dental insurance
Health insurance
401(k)
Cash balance pension plan
401(k) matching",Experience in preparing test scripts and test cases to validate data and maintaining data quality. Proficiency working with large data stores.
609,Data Integration Engineer,Booz Allen Hamilton,,"Orlando, FL ",1 day ago,"Relational databases
Design patterns
SQL
NoSQL
Database design
Bachelor of Science
Bachelor's degree
High school diploma or GED
Associate's degree
Master's degree","Health insurance
Commuter assistance
Employee assistance program
Tuition reimbursement
Retirement plan",3+ years of experience with designing data warehouse data models. 3+ years of experience with creating logical data models from disparate data sources.
610,Data Engineer: 22-04763,Akraya Inc.,"Estimated: $96,000 - $120,000 a year",Ohio +2 locations,Full-time | Contract,"Analysis skills
SQL
Tableau
Oracle
OBIEE",,"Strong analytical skills and enjoys working with large complex data sets. Developing and supporting the analytic technologies that give the customers timely,…"
611,"Big Data Engineer, Mid",Booz Allen Hamilton,,"Arlington, VA ",4 days ago,"Splunk
Azure
Spark
Apache Hive
Tableau
Bachelor's degree",Tuition reimbursement,"You’ll have the chance to architect data systems, stand up data platforms, build out ETL pipelines, interface with data stores, and build data models."
612,"Senior Data Platform Engineer, Data Science",GSK,"Estimated: $110,000 - $160,000 a year","Research Triangle Park, NC +1 location",,,,Production experience developing data science solutions. While a hands-on development role which includes developing & delivering code from origin to production…
613,Data Engineer,NirvanaHealth,"Estimated: $99,000 - $130,000 a yearQuick Apply","Southborough, MA ",Full-time,"MongoDB
CI/CD
PostgreSQL
Docker
Python
US work authorization","Dental insurance
Health insurance
401(k) matching
Paid time off
401(k)",Experience in data workflow management tool Airflow. RxAdvance/ Nirvana Health needs a Data Engineer for a full-time position with company standard benefits…
614,Lead Data Engineer - High Performance Stream Computing (Full-Time Remote or Hybrid),Target,"Estimated: $110,000 - $150,000 a year","Sunnyvale, CA ",Full-time,"Redis
Lua
Git
Go
C++
Master's degree",,"We enable teams at Target to stream, filter, transform, and analyze telemetry data in real-time, and provide tools for engineers to analyze and act on their…"
615,Data Engineer,Alpha Medical,"$120,000 - $150,000 a year",Remote ,7 days ago,"Python
Redshift
AWS
ETL","Paid time off
Dental insurance
401(k)
Health insurance
Vision insurance",Experience building automated data validation tools. Develop data interfaces to exchange information with third party sources.
616,Data Engineer,Micron,"Estimated: $77,000 - $110,000 a year","Atlanta, GA +1 location",,,,Potential Restricted Stock Units (RSU's). 5% 401k Matching dollar for dollar. Discounted Employee Stock Purchase Program. Generous Paid Time Off (PTO).
617,Data Engineer,CriticalRiver Inc.,"Estimated: $140,000 - $190,000 a year",Remote ,Contract,"Research
Shell Scripting
CI/CD
Communication skills
Identity & access management
US work authorization",,"Needs to be able to support existing data pipelines, triage and resolve runtime issues for the data infrastructure components. Strong AWS and Python skills."
618,Data Engineer (Data Science / Business Analytics) (Project 2025),Universal Orlando Resort,,"Orlando, FL ",Full-time,"Software deployment
SQL
PostgreSQL
Machine learning
Python
Bachelor's degree
Master's degree",,"Engage with internal business partners to gather requirements and collaborate with IT technology data engineers, architects, and data scientists to build a…"
619,Data Engineer,Proof,"$120,000 - $140,000 a yearQuick Apply","Denver, CO ",,,,2+ years of professional experience as a data engineer or similar role. You are no stranger to data warehousing and designing data models.
620,Data Engineer,Invictech Inc,"$80,000 - $150,000 a yearQuick Apply","East Windsor, NJ ",Full-time,"Power BI
SQL
GraphQL
Shell Scripting
NoSQL
Bachelor's degree","Health savings account
Dental insurance
Employee discount
Health insurance
Professional development assistance",Define and build data acquisitions and consumption strategies. Good understanding of data streaming tools like Kafka or RabbitMQ.
621,Data Engineer,Novelis Corporate HQ,"Estimated: $84,000 - $110,000 a year","Atlanta, GA ",Full-time,"Power BI
Data modeling
SQL
Shell Scripting
Scrum
Bachelor's degree
Master's degree","Prescription drug insurance
Health savings account
Dental insurance
Health insurance
401(k)","Their core responsibility will be to combine large volumes of disparate complex data, conduct quality checks on the data, manipulate the data and ensure…"
622,Senior Data Engineer (100% Remote),The Mom Project,$70 an hour,Remote ,Full-time,"Power BI
Azure
SQL
Sensors
DevOps
Bachelor's degree
US work authorization","Dental insurance
Health insurance
AD&D insurance
401(k)
Commuter assistance",Provide data analysis of internal and external data sources for transformation and delivery to end-user solutions. Experience with Microsoft Azure Platform.
623,Data Scientist / Machine Learning Engineer,Bright Apps LLC,"Estimated: $120,000 - $170,000 a year","San Francisco Bay Area, CA ",Full-time,"PyTorch
NumPy
Pandas
SciPy
Presentation skills",,Supervising the data acquisition process if more data is needed. Supervising the data acquisition process if more data is needed.
624,Data Visualization Engineer,Brown & Brown Insurance,"Estimated: $90,000 - $120,000 a year",California ,Full-time,"Power BI
Communication skills
SQL
Time management
Data visualization",,Tell a story with the data that allows users to make data-driven decisions. Extensive experience in writing complex SQL queries to pull the data into…
625,Data Engineer - Integrations,Nuna,"Estimated: $120,000 - $150,000 a year","San Francisco, CA ",,,,"Collaborate with product managers, data scientists, data analysts and engineers to define user requirements and database design specifications for our clients'…"
626,Data Center Operations Process Improvement Engineer,Meta,"Estimated: $110,000 - $160,000 a year",Remote +15 locations,,,,"Develop, define, optimize and document data center workflow processes. Support building cross functional relationships and have the ability to influence…"
627,Data Engineer,Germantown Technologies,"Estimated: $100,000 - $150,000 a yearQuick Apply","Nashville, TN ",,,,Create complex ELT/ETL scripts to perform data integration to data lake and data warehouse. Strong knowledge of healthcare data.
628,Data Engineer,Currance Inc,"Estimated: $100,000 - $130,000 a yearQuick Apply","Irvine, CA ",Full-time,"Relational databases
SQL
Analytics
Root cause analysis
Databases
Bachelor's degree",,"Ability to build and optimize data sets, data pipelines, and architectures. Build required infrastructure for optimal extraction, transformation, and loading of…"
629,Data Engineer (Azure),Apptad Inc,"Estimated: $97,000 - $130,000 a yearQuick Apply",Remote ,Full-time | Contract,"Azure
SQL
Windows
Oracle
Data warehouse",,"Experienced in loading data, troubleshooting, debugging mappings, performance tuning of. A minimum of 4+ vears of relevant \*Informatica Cloud\* (IICS)…"
630,Data Engineer,"Computer Enterprises, Inc. (CEI)",$84.55 an hourQuick Apply,Remote ,Full-time | Contract,"Continuous integration
SVN
Spark
Git
CI/CD
Bachelor's degree",,Proficient with relational data modeling. Big data: 3 years (Required). 5+ years proven ability of professional data development experience.
631,Data Analytics Engineer,"Hoffmaster Group, Inc.",,United States ,Full-time,"Analysis skills
Power BI
Relational databases
Data modeling
Azure
Associate's degree","Dental insurance
Health insurance
Employee assistance program
Loan assistance
Vision insurance","They will engineer and implement data warehouse concepts and business intelligence solutions. Knowledge of data modeling, ETL technologies (T-SQL, SSIS, SSAS)…"
632,Sr Data Operations Engineer I / Sr Couchbase DBA,Staples,Quick Apply,"Framingham, MA ",Full-time,"Writing skills
Azure
SQL
High availability
PaaS
Bachelor's degree","Health insurance
401(k) matching
Paid time off
401(k)",Setup secure Couchbase XDCR replication between buckets across multiple data centers. Sr Data Operations Engineer I / Sr Couchbase DBA - 1217913 *.
633,Principal Data Engineer,Mudflap,"Estimated: $130,000 - $170,000 a yearQuick Apply","Palo Alto, CA ",,,,Experience building and maintaining data infrastructure from the bottom up. Strong opinions on how to build out world-class data infrastructure.
634,Full Stack Data Engineer,FlexIT Inc,"Estimated: $87,000 - $110,000 a yearQuick Apply","Beaverton, OR ",Full-time,Data visualization,,The type of engineer we’re looking for is a Full Stack Data Engineer. Knowledge of data visualization engineering as well as consumption and view build…
635,"Data Engineer, Data Platform - TikTok-US-Tech Services",TikTok,"Estimated: $100,000 - $130,000 a year","Mountain View, CA ",,,,"Experience in performing data analysis, data ingestion and ETL(Extraction, Transformation & Loading). Establish solid design and best engineering practice for…"
636,Data Engineer - USA (Remote),Knoema,"Estimated: $94,000 - $130,000 a yearQuick Apply",Remote ,Full-time,"Relational databases
Scala
Data modeling
SQL
Python
Bachelor's degree",,"Develop data management features such as master data, reference data, data quality, data catalog, and data publishing. Everything starts with the customer."
637,Data Engineer,Avancier,"$130,000 - $190,940 a yearQuick Apply","Illinois Park, IL ",Full-time,"Spark
Scala
Kafka
Google Cloud Platform
ETL
US work authorization","Health insurance
401(k)",Hey This is *Shahnawaz Khan* from *Avanciers* working as a *Lead Recruiter.* If you are available in the job market please do share your resume *Position:…
638,"Big Data Lead Engineer, Remote-Home Based",Allstate,"$130,000 - $165,000 a year","Northbrook, IL ",,,,"Experience with data analytics technologies on AWS is a strong plus. Identifies new areas of data, research and Big Data technology that can solve business…"
639,Data Engineer,DSI Systems,"Estimated: $100,000 - $130,000 a yearQuick Apply",Remote ,Full-time,"SQL
Telecommunication
Communication skills
Business requirements
ETL
Bachelor's degree","Dental insurance
Employee discount
Health insurance
Referral program
401(k)",Collaborate with key stakeholders to verify data accuracy and ease of use. Knowledge of the telecommunications industry and call center data is a plus.
640,Data Engineer,Mindtree Limited,"$75,128 - $171,298 a yearQuick Apply","Atlanta, GA ",Full-time | Contract,"SQL
Python
Data warehouse
Informatica
US work authorization",,Run data profiling and produce data quality reports. Analyze and organize raw data. Build data systems and pipelines. Evaluate business needs and objectives.
641,"Data Engineer II (Cloud, Python)","The Travelers Companies, Inc.","$107,100 - $176,700 a year","Hartford, CT ",Full-time,"Analysis skills
Communication skills
Machine learning
Python
Scripting
Bachelor's degree",,"Incorporate core data management competencies including data governance, data security and data quality. Four years of data engineering or equivalent experience…"
642,NLP Data Scientist / Engineer,Altana AI,"$140,000 - $230,000 a yearQuick Apply","Brooklyn, NY ",,,,Collaborate with fellow engineers and data scientists across the organization. The Data Science/Data Analytics team is looking for talented Natural Language…
643,Azure Data Engineer,Macersoft Technologies LLP,$70 - $90 an hourQuick Apply,Remote ,Full-time,"Power BI
Communication skills
Azure
Analytics
Data lake
US work authorization",,Azure data factory: 4 years (Preferred). Good knowledge and hands on experience in Query writing and data analysis. Good knowledge in Azure Synapse analytics.
644,Data Visualization Engineer,"Daiichi Sankyo, Inc.","Estimated: $95,000 - $130,000 a year",Remote ,Full-time,"Power BI
Confluence
SQL
Jira
Tableau
Bachelor's degree",,"Provide specs to data engineers to align data model with the analytical needs. Collaborate with domain experts in privacy, security, and compliance to ensure…"
645,Data Engineer,Rising Tides Solutions LLC,"Estimated: $85,000 - $110,000 a yearQuick Apply",Remote ,Full-time,"Power BI
Azure
SQL
Tableau
SSIS","Health insurance
Disability insurance
Paid time off
401(k)
Vision insurance",Maintain data dictionaries and data lineage documents for integration components of data warehouse projects. Excellent communication and facilitation skills.
646,Staff Data Warehouse Engineer - Revenue Systems - Business Technology Team,Indeed,"$107,000 - $156,000 a year",United States ,Full-time,"Data modeling
Apache Hive
Workday
Python
Big data
Bachelor's degree","Unlimited paid time off
Paid time off","The successful candidate will have hands on data processing and data modeling experience in a ""big data"" environment. Austin 107,000 - 156,000 USD per year."
647,Data Engineer Lead,Mindtree Limited,"$140,000 - $150,000 a yearQuick Apply","Atlanta, GA ",Full-time,"Confluence
Data modeling
SQL
Scala
APIs
US work authorization",,"Experience in designing and building production data pipelines from data ingestion to consumption within a hybrid big data architecture, using Cloud Native GCP,…"
648,Data Engineer,Equity Staffing Group,$50 - $60 an hourQuick Apply,Remote ,Full-time | Contract,"Power BI
SQL
Spark
Apache Hive
Tableau",Health insurance,"Design and develop critical business functionalities using Big Data and implement data solutions using Hadoop, Big data and hive components based on the…"
649,DATA - Data Engineer,Addison Group,"$105,000 a yearQuick Apply","Franklin, TN ",Contract,"Software deployment
Power BI
Relational databases
SQL
Databases",,"Experience building and optimizing data pipelines, architectures and data sets. What type of data sources have you worked to pull data from in the past?"
650,Data Engineer,Resourznet Consulting,$60 - $62 an hourQuick Apply,Remote ,Contract,"REST
Jenkins
SQL
Shell Scripting
SDKs",,"Interface with data engineers, data scientists, product managers and internal stakeholders. Expertise with data pipeline orchestration tools, such as Airflow."
651,"Data Engineer, Data Analytics",Canyon Associates,"$90,000 - $115,000 a yearQuick Apply","Parsippany, NJ ",Full-time,"Data modeling
Azure
SQL
Business intelligence
CRM software
Bachelor's degree","Health savings account
Dental insurance
Employee discount
Health insurance
401(k) matching",Knowledge of database systems and Business Intelligence tools. CRM experience is a plus.
652,Data Engineer - Machine Learning Platform,FanDuel,"Estimated: $110,000 - $150,000 a yearQuick Apply","New York, NY +2 locations",,,,"Experience as a data engineer in a machine learning environment (recommendation systems, pattern recognition, data mining or artificial intelligence)."
653,Software Engineer - Data Engineering,Torc Robotics,,"Blacksburg, VA ",Full-time,"NoSQL
TensorFlow
Communication skills
Python
Full-stack development
Bachelor of Science
Bachelor's degree
Master's degree","Dental insurance
Health insurance
401(k) 6% Match
AD&D insurance
401(k)","Scale Torc's data lake through a distributed storage system, data crawling and discovery. Govern data access throughout the data lake at table, column, and row…"
654,Data Engineer,Dimagi,"$72,607 - $104,861 a year","Cambridge, MA ",Full-time,"Power BI
SQL
C++
Public health
R
US work authorization","Dental insurance
Health insurance
Flexible schedule
401(k)
Stock options","Experience in data architecture, social enterprise frameworks, data integration and harmonization, data strategy and governance, impactful data lakes, data…"
655,Lead Data Engineer,Capgemini Engineering USA,"$100,000 - $150,000 a yearQuick Apply",Remote ,Full-time,"Communication skills
Scala
GitHub
Python
Big data
Bachelor's degree
Doctoral degree
Master's degree
Doctor of Philosophy",,"Collaborates with peers, junior engineers, data scientists and project team. Collaborates with peers, junior engineers, data scientists and project team."
656,Full Stack Engineer - Data Campaign,Torc Robotics,,"Blacksburg, VA ",Full-time,"CSS
Communication skills
APIs
Python
Vue.js
Bachelor of Science
Bachelor's degree
Master's degree","Dental insurance
Health insurance
401(k) 6% Match
AD&D insurance
401(k)",We are seeking experienced Full Stack Engineers to build software that enables access to our cloud-based data lake as well as remote and in-vehicle…
657,Azure Cloud Data Engineer,Envision,Quick Apply,Remote ,,,,"The ideal candidate needs to have expertise in Epic, Hana, Oracle, Caboodle databases. Azure expertise, specifically in ADLS, Databricks and Synapse."
658,Entry-Level AWS Cloud Data Engineer,Quintrix,"$57,000 a yearQuick Apply","Raleigh, NC +43 locations",Full-time,"SQL
Communication skills
Python
Scripting
AWS
Bachelor's degree
US work authorization","Commuter assistance
Dental insurance
Paid training
Health insurance
Employee assistance program","These Engineers are in high demand, so we are looking to train the right people while giving them experience using data knowledge to identify, retrieve, prepare…"
659,Data Engineer - Telecommute,UnitedHealthcare,"$66,100 - $118,300 a year","Shelton, CT +2 locations",Full-time,"Power BI
SQL
Swift
Microsoft Excel
Kanban
Bachelor's degree
Pass drug screening
Current immunizations","401(k) matching
401(k)",Understands and utilizes data from a multitude of BEO data sources to provide pro-active insights to current and potential future issues to our BEO Operations…
660,Senior Data Center Network Engineer,Progressive,"$105,750 - $129,250 a year",United States ,Full-time,"VMWare
BGP
GitHub
Python
Ansible
Associate's degree
US work authorization","Health savings account
Dental insurance
Health insurance
Military leave
401(k)","In addition, you’ll lead and implement IT and business projects, provide escalation support for critical operational issues, and develop team members."
661,"Staff Analytics Engineer, Central Data",Airbnb,"$180,000 - $245,000 a yearQuick Apply","San Francisco, CA ",,,,"Using these tools, along with first-class internal data tooling, you will transform data from data warehouse tables into critical data artifacts that power…"
662,AWS Data Engineer or ETL Developer,Cepoch,"Estimated: $93,000 - $130,000 a year",Remote ,Full-time,"DynamoDB
Python
Big data
NoSQL
Redshift",,Create data pipeline architecture by designing and implementing data ingestion solutions. Build Redshift Spectrum direct transformations and data modeling using…
663,Data Engineer,Stellantis,,"Auburn Hills, MI ",,,,Assist with renovating the data management infrastructure to drive automation and ensure data integrity. Ensure data is provisioned and used responsibly through…
664,Senior Data Engineer (Remote),Commonwealth Care Alliance,"Estimated: $91,000 - $130,000 a year","Boston, MA ",,,,"Dealing with data governance, such as documentation, data integrity/quality and data security. Make changes on the existing data system to optimize and improve…"
665,"Sr. Data Engineer (Remote, Office, or Hybrid)",ADESA,"Estimated: $97,000 - $130,000 a year","Carmel, IN ",Full-time,"SQL
C++
Communication skills
Scala
R","Health insurance
AD&D insurance
Referral program
401(k)
401(k) matching",We are looking for a data engineer with cloud data warehouse experience and a passion for turning data into information.
666,"Lead Data Engineer, Remote",Delaware North,"$130,000 - $160,000 a year","Buffalo, NY ",Full-time,"Web services
PostgreSQL
Integration testing
Python
Redshift
Bachelor's degree","Dental insurance
Health insurance
401(k)
401(k) matching
Paid time off","Interface with clients, vendors, and internal users of the data platform on understanding the data. Familiarity with data mapping and transformation techniques."
667,Data Engineer,UnitedHealthcare,"$60,000 - $106,700 a year","Las Vegas, NV ",Full-time,"Cognos
Relational databases
SQL
Microsoft Excel
Business intelligence
Bachelor's degree
Pass drug screening
Current immunizations","Employee discount
Health insurance
AD&D insurance
Referral program
401(k)","Troubleshoots data integrity issues, analyzes data for completeness to meet business needs, and proposes documented solution recommendations."
668,Data Engineer (Azure & Python),Parkar Digital,"Estimated: $100,000 - $150,000 a yearQuick Apply",Remote ,Full-time,"Project management
Azure
Teaching
Mentoring
Informatica
Bachelor's degree
Master's degree",,Appropriate data segmentation rules and other data security measures. Modeled data assets derived from source system data to provide additional value.
669,Lead Business Process Engineer – Data Quality (Remote),"Best Value Technology, Inc.","Estimated: $84,000 - $120,000 a yearQuick Apply","Austin, TX +1 location",Full-time,Background check,,This individual will play a key role in supporting the alignment and transformation of complex government programs and systems from siloed data operations into…
670,Data Engineer,PADNOS,"Estimated: $74,000 - $96,000 a yearQuick Apply","Grand Rapids, MI ",,,,"Maintain meta data in reporting layer on warehouse data models. Must be able to extract, process, and store large amounts of data following Kimball data."
671,Data Science and Supportability Engineer (Remote),Collins Aerospace,,"Austin, TX ",Full-time,"SQL
Microsoft Excel
R
Python
Ruby
Bachelor's degree
Pass drug screening
Background check","Dental insurance
Health insurance
Adoption assistance
401(k)
Pet insurance","Develop and maintain internal data and simulation tools including those built in the O365 suite. Database and/or data science experience (Oracle, Access, SQL,…"
672,Senior Data and Analytics Engineer,"CGI Group, Inc.",,"Knoxville, TN ",Full-time,"React
Power BI
CSS
Data modeling
SQL
Bachelor of Science
Bachelor's degree",Tuition reimbursement,"Hands on experience building end-to-end data and analytics solutions in each of the following areas: data modeling, data warehousing, ETL, reporting, and…"
673,Big Data Engineer - Azure,firstPRO Inc.,"$120,000 - $140,000 a yearQuick Apply",Remote ,Full-time,"Azure
NoSQL
DevOps
Scala
Agile
Bachelor's degree","Dental insurance
Health insurance
Flexible schedule
401(k)
Paid time off","Create scalable and high-performance services for data exchange and high speed queries for data retrieval. Create and enforce Cloudera/Hadoop best practices,…"
674,Data Engineer,Brooksource,$65 - $75 an hourQuick Apply,Remote ,Full-time,"Software deployment
Data modeling
Azure
SQL
NoSQL
US work authorization","Dental insurance
Health insurance
Paid time off
401(k)
Vision insurance","Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets. Strong relational data modeling experience."
675,Senior Data Science Engineer,When I Work,"Estimated: $98,000 - $140,000 a yearQuick Apply","Minneapolis, MN ",Full-time,"Elasticsearch
DynamoDB
SQL
NoSQL
GitHub
US work authorization","Dental insurance
Health insurance
401(k)
401(k) matching
Paid time off",You are eager to use data to solve business problems and guide data-driven decision making across an entire organization. When I Work is a remote first company.
676,Principal Data Engineer - Telecommute,Optum,"$97,300 - $176,900 a year","Boston, MA ",Full-time,"Jenkins
SQL
Translation
Scala
Python
Bachelor's degree
Master's degree
Pass drug screening
Current immunizations","401(k) matching
401(k)","Perform all phases of data engineering including: requirements analysis, design, development and testing. Here, innovation is not about another gadget; it is…"
677,Data Engineer,Retool,"Estimated: $120,000 - $170,000 a yearQuick Apply","San Francisco, CA ",,,,"You'll develop data models to streamline operations, optimize our ETLs, and design our data architecture for scale, with a keen eye for data warehouse…"
