title,salary,company,description,location,city,state
data engineer - sales (remote),107500.0,crowdstrike,ensure data quality by implementing data detection mechanisms. interface with engineers from other systems and applications to ensure proper data collection.,['remote'],remote,
data engineer - streaming,115871.09296740998,datadog,skilled in wrangling huge amounts of data and enjoy exploring new data sets. experienced in building and operating data pipelines for real customers in…,"['new york', ' ny']",new york, ny
data engineer (remote),115871.09296740998,may mobility,"we provide the data backbone of the company, from raw log data on vehicles to consumers with varying needs. working knowledge of telemetry systems and real-time…","['ann arbor', ' mi']",ann arbor, mi
data test engineer,115871.09296740998,"innovasystems international, llc",this individual will participate in sql-centric testing of our enterprise data. experience in development of data test scripts based on technical specifications…,"['san diego', ' ca']",san diego, ca
data engineer (us remote),115871.09296740998,amgen,"build data products and service processes which perform data transformation, metadata extraction, workload management and error processing management.","['tampa', ' fl']",tampa, fl
"big data engineer :: hybrid onsite - raleigh, nc",166400.0,openmind technologies inc,big data technology: 10 years (preferred). 9-10+ years of it experience with in depth big data technology. develop applications on the big data platform using…,"['morrisville', ' nc']",morrisville, nc
ai - machine learning data engineer (remote),82500.0,keybank,"the ideal candidate should be able to work effectively with data scientists’ to better understand their business needs, work on data requirements including data…",['remote'],remote,
data engineer,115871.09296740998,corestream,"populate a cloud data lakehouse utilized by data analysts, data scientists, and bi developers. 2+ years designing data models, building etl pipelines, and…",['remote'],remote,
"engineer, data engineering",115871.09296740998,samsung electronics,"ability to handle various data sources, using data modeling work to develop reporting capabilities and valuable insights across data sources.","['ridgefield park', ' nj']",ridgefield park, nj
data engineer (contract to hire / 100% onsite),145600.0,gen central,"identify systems of record for key enterprise data, define data cleansing and completeness processes for source systems. data engineering: 4 years (required).","['houston', ' tx']",houston, tx
data engineer,115871.09296740998,whitespace,lead master data management efforts within the team. expert experience with sourcing and profiling highly variable data.,"['washington', ' dc']",washington, dc
data engineer,92200.0,optum,review of data architecture and mapping of data for new development. testing results / validation of data with new functionality. 2+ years’ experience with sql.,"['eden prairie', ' mn']",eden prairie, mn
sr. data engineer- matillion,125000.0,bhanu.c@sdnaglobal.com,"should be able to queries for performance, data movement, data extraction. strong experience in writing scripts or program involving data movement from various…",['remote'],remote,
data engineer,115871.09296740998,treeline biosciences,design and develop robust data pipelines and software tools across the sciences. support the migration and integration of data and code into our cloud-based…,"['san diego', ' ca']",san diego, ca
data engineer,115871.09296740998,intone networks,"title: data engineer essential functions include the following: data platform solution development develop, construct, test, and maintain architecture to…","['apple valley', ' ca']",apple valley, ca
"senior data engineer, us (remote)",115871.09296740998,andela,"basic understanding of data structures, data in transit, and data at rest. 2+ years experience working in data intensive environments and platforms.","['boston', ' ma']",boston, ma
system engineer - 3 (data flow),141000.0,"akina, inc.",the candidate will guide and coach a data modeling team to use agile practices and principles. the program is seeking a systems engineer to support a project…,"['annapolis junction', ' md']",annapolis junction, md
data engineer for federal health data lakehouse,145000.0,"business performance systems, llc",strong understanding of data modeling and data management principles. ability to build and optimize data sets in 'big data' elt pipelines.,['remote'],remote,
data engineer,87000.0,child care aware of america,"they will use various methods to transform raw data into useful data systems. technical expertise with data models, data mining, and segmentation techniques.","['arlington', ' va']",arlington, va
data engineer (office of the cto),115871.09296740998,consensys,implementing data privacy policies and complying with data protection regulations. we are using a mix of providing some centralized data engineering functions…,"['miami', ' fl']",miami, fl
"staff data engineer, advertising",115871.09296740998,spotify,"you are knowledgeable about data modeling, data access, and data storage techniques. you have experience working on and building distributed data pipelines that…","['new york', ' ny']",new york, ny
sql data engineer,115871.09296740998,"codeworks, l.l.c.","we are looking for two full time data engineers for a 6 to 12 month contract. remote to start with onsite requested later in 2021 in the greater milwaukee,…","['mequon', ' wi']",mequon, wi
data validation engineer,115871.09296740998,smarking,"in this cross functional role between our customer success and engineering, you'll be our go to engineer for diagnosing and fixing data accuracy and and data…",['remote'],remote,
data engineer,115871.09296740998,zenith,responsible for system performance of the data tier and the reliability of data feeds across the entire solution. ownership of the whole data life cycle.,"['atlanta', ' ga']",atlanta, ga
data engineer,115871.09296740998,herff jones,"optimal extraction, loading, and transformation of data from a wide variety of data sources. you will be responsible for ensuring orchestrations run without…",['remote'],remote,
data engineer,115871.09296740998,wespire,this critical role will require the ideal candidate to build off their existing experience in engineering enterprise data and analytics solutions to include…,"['boston', ' ma']",boston, ma
data engineer,115871.09296740998,pinterest,define and advocate the best practices for storing and analyzing data inside snowflake. build data pipelines using python on either airflow or aws lambda to…,"['san francisco', ' ca']",san francisco, ca
data integration engineer,115871.09296740998,smiths group,"work collaboratively with business analysts to identify ways to automate manual data governance processes. the data integration engineer, will design, build and…",['remote'],remote,
"data engineer, creator promotion",115871.09296740998,spotify,"you are knowledgeable about data modeling, data access, and data storage techniques. help drive optimization, testing and tooling to improve data quality.","['boston', ' ma']",boston, ma
data engineers (remote) w2/1099,135200.0,sedna consulting group,"looking for data engineers, hands on, individual contributors, to functionally map/move data from sap and load it into client's legacy systems.",['remote'],remote,
mechanical engineer - data center (remote),115871.09296740998,jacobs,at least 2 years of data center experience. experience leading junior engineers and designers on complex multi-discipline design project from concept…,"['portland', ' or']",portland, or
data engineer,115871.09296740998,twilio,design data integrations and data quality framework. perform data analysis required to solve data-related issues and assist in the resolution of data issues.,"['irvine', ' ca']",irvine, ca
sr streaming data engineer,115871.09296740998,"amazon web services, inc.","at amazon web services (aws), we’re hiring highly technical streaming data engineers to collaborate with our customers and partners on key engagements.","['detroit', ' mi']",detroit, mi
"software engineer, data products",165000.0,discord,work with our analytics and data science teams to optimize data models for performant storage/retrieval and fulfill critical product and business requirements…,"['san francisco', ' ca']",san francisco, ca
data engineer,115871.09296740998,bitsight,"3+ years of experience in data warehousing, data modeling, building data pipelines, and data visualizations. perform data analysis required to troubleshoot data…","['boston', ' ma']",boston, ma
junior data engineer,115871.09296740998,tupl,"design and implement data collection components to ingest different data sources into big data systems. understanding of data modelling, algorithms, and data…","['dallas', ' tx']",dallas, tx
data center engineer l,115871.09296740998,"jpmorgan chase bank, n.a.","you will be responsible for installing and configuring enterprise class technology hardware, troubleshooting hardware and network issues, maintain change…","['totowa', ' nj']",totowa, nj
aws data engineer,119600.0,fluxtek solutions inc,2 best aws data engineer with snowflake & python experience. remote. data warehouse: 1 year (preferred).,['remote'],remote,
principal data engineer,115871.09296740998,"daysmart software, llc",build a mechanism to score data quality to help drive data improvement initiatives as well as guide data consumers on the proper use of available data.,['remote'],remote,
senior data engineer,115871.09296740998,elder research inc,"performed data transformations such as aggregations, joins, or data cleaning. we are looking to hire a senior data engineer who can support robust and…","['arlington', ' va']",arlington, va
senior data warehouse engineer (remote worker opportunity),115871.09296740998,bae systems,the candidate develops deep knowledge and understanding of the data warehouse and data management assets available within our data platforms and act as the…,"['hollis', ' nh']",hollis, nh
data integration engineer,115871.09296740998,maximon,"maintain an integration architecture that acquires personalized health data from a variety of sources. ensure the integrity, reliability, and security of the…","['new york', ' ny']",new york, ny
"sr. data engineer, (w2)",79367.5,rosalind it services,experience in ingestion of data from external apisand data stores. design and develop highly scalable and reliable data engineering pipelines to process large…,['remote'],remote,
senior software engineer - data lake (remote),130000.0,home depot / thd,"the sr. software engineer is responsible for populating data in the home depot's hr data lake. as a sr. software engineer, you will be part of a dynamic team…","['atlanta', ' ga']",atlanta, ga
data engineer,104000.0,ghit,"analyze raw data sources and data transformation requirements. duties: design and maintain data pipelines and services using best practice for etl/elt, data…",['remote'],remote,
lead data engineer (remote eligible),115871.09296740998,capital one,at least 2 years of experience in big data technologies. 4+ years of data warehousing experience (redshift or snowflake). 2+ years of experience with pyspark.,"['mclean', ' va']",mclean, va
data engineer,115871.09296740998,powin energy,"provide ongoing support for applications, processes running on aws that run analytics and data science activities. ba/bs degree or equivalent experience.",['remote'],remote,
senior data engineer (plx002),115871.09296740998,pharmalex,"build data products and service processes which perform data transformation, metadata extraction, workload management and error processing management.","['juncos', ' pr']",juncos, pr
sr. data operations engineer,115871.09296740998,abacus insights,"strong experience writing queries, performing data analysis, data profiling and reporting. you will partner with customers, data vendors and several internal…","['boston', ' ma']",boston, ma
associate data engineer,115871.09296740998,quest diagnostics,must have experience with or strong interest in sql and curiosity about data and large data sets. build and maintain data pipelines that feed reporting…,"['vacaville', ' ca']",vacaville, ca
data center engineer,115871.09296740998,hudson river trading,the ideal candidate will be a jack-of-all-trades who can effectively multitask yet retain a high attention to detail that keeps our systems running as…,"['tarrytown', ' ny']",tarrytown, ny
data software engineer,115871.09296740998,hudson river trading,design and implement hrt's data storage strategy to help drive successful delivery and access of data in our data centers around the world.,"['new york', ' ny']",new york, ny
data engineer,115871.09296740998,rpm living,working with stakeholders to support their data infrastructure needs while assisting with data-related technical issues.,"['austin', ' tx']",austin, tx
senior data engineer,115871.09296740998,flexengage inc,maintain our data warehouse with timely and quality data. empower the organization to build data-driven products by building data processing pipelines that…,['remote'],remote,
senior data engineer,121000.0,cvs health,"builds data marts and data models to support data science and other internal customers. integrates data from a variety of sources, assuring that they adhere to…","['new york', ' ny']",new york, ny
senior data engineer,115871.09296740998,fidelity investments,you’re committed to supporting other data engineers and data scientists and enjoy guiding others as they mature their own data engineering skills.,"['merrimack', ' nh']",merrimack, nh
data engineer,115871.09296740998,public storage,maintain our data warehouse with timely and quality data. the data engineer would help us build data products supporting analytics use cases by expanding and…,"['glendale', ' ca']",glendale, ca
"data engineer, creator studio, music mission",115871.09296740998,spotify,"you are knowledgeable about data modeling, data access, and data storage techniques. build large-scale batch and real-time data pipelines with data processing…","['new york', ' ny']",new york, ny
"data engineer - remote, usa",115871.09296740998,flight centre travel group,"develop data processing pipelines in the azure environment (receiving content, transforming data, and sending to a target). generous paid-time off policy.",['remote'],remote,
data engineer,115871.09296740998,maximo global tech,familiarity with modeling data and writing database schemas. ability to query data using sql queries or using orm libraries such as sqlalchemy.,['remote'],remote,
senior data engineer - 100% remote available,115871.09296740998,healthfirst,create data monitoring capabilities for each business process and work with data consumers on updates. 7+ years’ experience in a building robust data pipelines…,['remote'],remote,
senior data engineer,115871.09296740998,disco technology,"use streaming data platforms such as kafka. 5+ years of sql or relational database and data warehousing principles. bs in cs, related field.","['new york', ' ny']",new york, ny
data engineer ii,90000.0,first western,"document key data processes, data flow diagrams, and maintain code repository. improve data reliability and quality. complete all assigned training on time.","['denver', ' co']",denver, co
data engineer,115871.09296740998,allegient defense inc.,"demonstrate effective communication skills to relay data science activities, technical findings, and data products for both technical and non-technical…","['reston', ' va']",reston, va
data engineer (data warehouse),115871.09296740998,rx saving solution,"this is an exciting opportunity for a data engineer to leverage and learn skills with the latest cloud data warehouse tools such as snowflake, and utilize…","['overland park', ' ks']",overland park, ks
data mapping engineer,250000.0,dezign concepts llc,"experience leveraging enterprise solutions interacting with big data, data conditioning, data protection, data migration and compliance.","['reston', ' va']",reston, va
associate data engineer,115871.09296740998,hakkoda,"this work includes data ingestion pipelines, data architecture, data governance and security. exposure to working with data (analytics, data warehousing).",['remote'],remote,
"test engineer, data warehouse",115871.09296740998,chg healthcare,consults with development engineers in resolution of problems. the data warehouse team gathers and enables data throughout the organization in order to provide…,"['midvale', ' ut']",midvale, ut
data engineer,115871.09296740998,numerator,3+ years designing data warehouses and building data pipelines or in a data intensive engineering role (preferably snowflake).,['united states'],united states,
data services engineer,115871.09296740998,bloomerang,"troubleshoot issues found in customer's data and implement necessary changes. as an engineer on the data services team, you will work closely with other members…","['grand rapids', ' mi']",grand rapids, mi
"software engineer, data infrastructure - perception",115871.09296740998,bear robotics,experience designing and implementing data collection pipelines. experience with big data processing frameworks (spark).,"['redwoodcty', ' ca']",redwoodcty, ca
sr. data engineer,115871.09296740998,anaconda,"implement testing and observability across the data infrastructure to ensure data quality from raw sources to downstream models. job type: full time, exempt.","['austin', ' tx']",austin, tx
data engineer,115871.09296740998,houston texans,"create business solutions and maintain the integrity and security of data and data storage. ensure database integrity, work with it data integrity audits,…","['houston', ' tx']",houston, tx
lead azure data engineer,115871.09296740998,"tektree, inc.",good understanding of data warehouse concepts. 10+ years of overall experience in data. basic understanding of adf and adb for data validations.,['remote'],remote,
data engineer,115871.09296740998,haramainsystems,"spark/scala (soh recon app, inventory correction, and rnr reports). oracle and cassandra ( ris and udmf db). pl/sql and python scripting. apex for udmf ui.","['seattle', ' wa']",seattle, wa
aws python data engineer,115871.09296740998,cognizant technology solutions,build data pipelines using python/aws/sql. with the power to apply artificial intelligence and data science to business decisions via enterprise data management…,"['bloomfield', ' ct']",bloomfield, ct
azure data engineer,110359.0,veridiants tech solution,"5 years of experience in cloud based modern data platforms. experience in python, spark or databricks to handle big data transformation and processing.","['raleigh', ' nc']",raleigh, nc
"civil engineer, data center design",115871.09296740998,meta,supports the implementation of data center engineering and commissioning for new data center concepts under development. this position is full-time.,['remote'],remote,
senior data engineer-hippa,115871.09296740998,eci - sacramento,desirable 5: experience in data architectures in health care it. mandatory 2: minimum three(3) years of experience designing and mapping data architectures for…,['remote'],remote,
paid bootcamp | data warehouse engineer | entry level,65000.0,pcs global tech,"work with other data engineers and analysts to build new and extend existing data structures. develop, maintain, and support etl processes for loading data from…","['phoenix', ' az']",phoenix, az
"senior software engineer, data",115871.09296740998,acuitymd,"design and build our data ingestion & transformation infrastructure to scale to thousands of sources, including public & private healthcare data and customer…","['boston', ' ma']",boston, ma
data engineer,95000.0,all star auto lights,"real world experience in data cleanup, normalizing semi-related data, and data analysis. in this role, you will get to interact with people and technologies…","['orlando', ' fl']",orlando, fl
data analytics engineer,115871.09296740998,r4 solutions,"identify, analyze, and interpret trends or patterns in complex data sets. \* work with management to prioritize business and information needs.","['philadelphia', ' pa']",philadelphia, pa
data engineer (remote),115871.09296740998,homelister,architect and build data pipelines to extend and scale our data warehouse. experience analyzing large data sets in relation to real estate sales.,['remote'],remote,
"staff data engineer, personalization",115871.09296740998,spotify,"you understand data modeling, data access, and data storage, caching, replication, and optimization techniques.","['boston', ' ma']",boston, ma
"integration data engineer, quality assurance",107650.40000000001,texas health resources,create temporary tables for comparing data or excluding duplicates. follow data governance requirements and documentation including but not limited to business…,"['arlington', ' tx']",arlington, tx
computer vision ml engineer data scientist,125000.0,longevity intime,"knowledge in backend, frontend, data science & computer vision would be a plus. in total, 3 mobile applications have been developed, including bmi disease…",['remote'],remote,
data engineer,115871.09296740998,hashicorp,"key projects include the creation and support of an enterprise data warehouse, data prep for prescriptive and predictive modeling, data analytics for process…","['san francisco', ' ca']",san francisco, ca
sr. data engineer,115871.09296740998,backblaze,experience in operational data stores and real time data integration. backblaze makes storing and using data astonishingly easy. 7+ years of java or python.,"['san mateo', ' ca']",san mateo, ca
data engineer,115871.09296740998,mando technologies inc,"understanding of data architecture design, data modeling, and physical database design and tuning. ability to understand data pipelines and modern ways of…","['plano', ' tx']",plano, tx
data engineer,115871.09296740998,flexit inc,"flexit client has an immediate need for data engineer for 6 months remote contract in portland, oregon. email resumes to hema@flexitglobal…","['portland', ' or']",portland, or
data engineer - top secret clearance required,144648.0,taa solutions llc,"experience with data ingestion, transformation logic, and querying data. driving law enforcement modernization, you’ll have the chance to architect data systems…","['chantilly', ' va']",chantilly, va
"data center control engineer, adc foc support engineer",80700.0,"amazon data services, inc.",the ideal candidate will need to have an understanding of data center it infrastructure and data center facilities infrastructure and how the two entities co…,"['herndon', ' va']",herndon, va
data engineer,115871.09296740998,retool,"you'll develop data models to streamline operations, optimize our etls, and design our data architecture for scale, with a keen eye for data warehouse…","['san francisco', ' ca']",san francisco, ca
data engineer,115871.09296740998,hello privacy,an understanding of etl and data pipeline principles connecting to multiple data sources such as a data lake & reporting systems.,"['new york', ' ny']",new york, ny
senior data engineer,115871.09296740998,"priority technology holdings, llc","communicate with internal it groups such as data infrastructure, data science, and database administration groups to increase efficiency and identify…",['remote'],remote,
sr. data engineer experience,115871.09296740998,essence,"good understanding of data architecture, data integrity concepts and data standardization; create and maintain optimal data pipeline architecture to work with…","['new york', ' ny']",new york, ny
"data engineer -streaming, aws professional services",115871.09296740998,"amazon web services, inc.","at amazon web services (aws), we’re hiring highly technical streaming data engineers to collaborate with our customers and partners on key engagements.","['detroit', ' mi']",detroit, mi
data engineer,115871.09296740998,the new york times,"you are comfortable collaborating with engineers from other teams, product owners, business teams, and data analysts and data scientists.","['new york', ' ny']",new york, ny
data engineer,115871.09296740998,stytch,3+ years as a data or backend engineer. championing data-driven insights - you see data analytics and observability as a product critical to success.,['california'],california,
sr. data engineer |,115871.09296740998,zodiac solutions,familiar with best practices for data ingestion and data design. identify necessary business rules for extracting data along with functional or technical risks…,"['atlanta', ' ga']",atlanta, ga
"senior data engineer - machine learning (us, canada)",155000.0,pex,we’re looking for an accomplished and pragmatic data engineer who will work on the implementation of our data vision across the organization.,['remote'],remote,
data warehouse engineer ii | remote,115871.09296740998,cardinal financial,uphold data security and data governance best practises. design etls for data sources that can automatically run and reliably maintain data in the data…,['remote'],remote,
data engineer,115871.09296740998,nexstar broadcasting,this position works closely with other engineers and data scientists. daily monitoring of data systems. analysis of data to find new insights.,['california'],california,
hockey operations data engineer,115871.09296740998,nashville predators,"this role will be responsible for acquiring, cleaning, storing, and extraction of hockey data through the refinement and inclusion of etl processes for our…","['nashville', ' tn']",nashville, tn
"senior software engineer, data",115871.09296740998,charlie health,"expertise developing data infrastructure, building pipelines, and modeling data. meaningful scope within a data engineering team, or a team responsible for data…","['new york', ' ny']",new york, ny
data engineer i,115871.09296740998,new visions central office,support the integration of additional data sources into new visions data warehouse and data tools. manage infrastructure for processing large data sets for use…,"['new york', ' ny']",new york, ny
"data center facilities engineering, systems engineer",115871.09296740998,meta,work on a team of highly technical and talented engineers chartered with maintaining the global controls and monitoring infrastructure for our data centers.,['remote'],remote,
etl data engineer,130000.0,cognizant technology solutions,experience in using data model as the main document to design and develop datastgae load process for data warehouses / data mart. 401(k) plan and contributions.,"['charlotte', ' nc']",charlotte, nc
data engineer,140400.0,kani solutions,"10+ for sr data engineer with data lake architecture, design experience. 5+ for data engineer with strong spark skills.","['houston', ' tx']",houston, tx
data engineer with data bricks,115871.09296740998,infinity quest,"must possess 5+ years of experience with developing business intelligence solutions including data integration, data schema development, data pipelines,…",['remote'],remote,
data engineer,140400.0,kani solutions,"10+ for sr data engineer with data lake architecture, design experience. 5+ for data engineer with strong spark skills. salary: $65.00 - $70.00 per hour.","['houston', ' tx']",houston, tx
senior data engineer,83200.0,"sunixa solutions, inc","contribute knowledge and documentation to growing our data analysis community in the city. collect, organize, analyze and disseminate large data sets with…",['remote'],remote,
"senior software engineer, data",115871.09296740998,step,"we are looking for an experienced software engineer working on all data related projects: data pipelines, data science and data analytics projects.","['palo alto', ' ca']",palo alto, ca
"assistant/associate engineer, 2023 engineering development program (edp), data science engineer",115871.09296740998,johnson & johnson,"have a strong support network of seasoned data scientists, engineers, and mentors guiding your technical and career development. and you’ll change, too.","['cincinnati', ' oh']",cincinnati, oh
senior data engineer,115871.09296740998,"pantheon systems, inc",work with business owners and data providers to create data contract slas. define data validation testing strategy and test for each component of a data…,"['seattle', ' wa']",seattle, wa
system engineer iii - data flow,235500.0,"prodigy one, llc","this system engineer will be responsible for managing the system data flows. by combining unparalleled experience and capabilities, our company provides big…","['linthicum', ' md']",linthicum, md
data engineer (varying levels),115871.09296740998,windfall,windfall is seeking data engineers at the senior level and above to join our core data team. build supporting data services and applications to orchestrate and…,"['san francisco', ' ca']",san francisco, ca
hiring :: test data engineer,115871.09296740998,realign llc,identify data masking tool which can be used to mask production data in test environment. publish a roadmap and execute data masking for 100% of production data…,"['rancho cucamonga', ' ca']",rancho cucamonga, ca
associate data engineer (full time starting summer 2023),115871.09296740998,eab,experience developing logical data models within a data warehouse. are you a data enthusiast who seeks to tease out meaning from complex data flows and assets?,['remote'],remote,
"senior data engineer, databricks",115871.09296740998,lovelytics,"fill the role of data engineer for client engagements focused on developing data warehouses, optimizing back-end performance, and integrating data sources to…",['remote'],remote,
toggle- data engineer,105900.0,farmers insurance group,manages requirements for enterprise data enhancements needed to improve future analytics and/or data process. responsible for identifying internal/external data…,['remote'],remote,
remote - data engineer,115871.09296740998,nestlé purina pet care,provide data analysis of internal and external data sources for transformation and delivery to end user solutions. experience with microsoft azure platform.,"['st. louis', ' mo']",st. louis, mo
advanced data engineer - us remote eligible,115871.09296740998,general mills,collaboratively troubleshoot technical and performance issues in the big data ecosystem. generate and implement your own ideas on how to improve the operational…,"['minneapolis', ' mn']",minneapolis, mn
anchor engineer - vehicle data command center,115871.09296740998,ford motor company,this position will serve to set a career path to software engineers to grow their career into technical leadership.,"['dearborn', ' mi']",dearborn, mi
data engineer,145000.0,digital dhara llc,"*must have* : hadoop, hdfs, spark, hive, scala/pyspark good to have: snowflake, sas, kafka, s3, spark container services , exposure to ml job type: full…","['irving', ' tx']",irving, tx
sr data engineer analyst lead - remote,137100.0,unitedhealthcare,"collaborate with developers on data pipeline development to ensure documentation, inclusion of data quality checks and processing flexibility of data pipelines.","['minnetonka', ' mn']",minnetonka, mn
senior data engineer (us remote available),115000.0,splunk,"7+ years of data architecture related experience such as data analysis, data modeling, and data integration. leading data discovery sessions with business teams…","['portland', ' or']",portland, or
data engineer,115871.09296740998,ivoyant,optimize data etl operations and aggregate multiple data sources ranging from machine operational data to manufacturing sap data.,"['atlanta', ' ga']",atlanta, ga
bioinformatics data associate/engineer - remote,115871.09296740998,arcus biosciences,experience developing pipelines and general frameworks for data analysis. strong understanding of data structures and transformation to enable efficient…,['remote'],remote,
data visualization and analytics engineer - hybrid - clearance required,115871.09296740998,deloitte,"etl concepts and data warehouse/relational database concepts (i.e., understanding/exposure). in this age of disruption, organizations need to navigate the…","['rosslyn', ' va']",rosslyn, va
data engineer,115871.09296740998,fidelity investments,example of recurrent task: automating extraction/transformation of an ad-hoc dataset (python scripting / airflow) and expose data to the end user (powerapps).,"['boston', ' ma']",boston, ma
data engineer ii,115871.09296740998,openly,experience with google cloud data store and data orchestration technologies. 1 to 2 years of data engineering and data management experience. it's not too late!,['remote'],remote,
data engineer,123000.0,sia partners,"partner with our client’s leadership teams, engineers, program managers and data analysts to understand data needs. experience with data quality and validation.","['palo alto', ' ca']",palo alto, ca
junior data engineer,115871.09296740998,open road media,"design and build etl pipelines by using airflow to collect data from different sources to data warehouses. in the meantime, we build systems, infrastructure,…","['new york', ' ny']",new york, ny
data engineer,105000.0,"praetorian standard, inc.",build data analysis environments to ingest and process data from a variety of industrial systems. they should have expertise and/or demonstrated history of…,"['fayetteville', ' nc']",fayetteville, nc
sr. data engineer,115871.09296740998,arteza,manage data warehouse and all aspects of data integrity and reporting. maintain the quality of data and provide input to the development of data/information…,['remote'],remote,
software engineer iii (data),120000.0,2u,we are looking for a software engineer with experience building and maintaining data pipelines and backend systems. what we're looking for:,"['brooklyn', ' ny']",brooklyn, ny
healthcare data engineer-work from home-evernorth,119700.0,cigna,"this opportunity focuses heavily on data manipulation, trend analysis, reverse engineering issues within data, and using tools to publish quality data and…","['hartford', ' ct']",hartford, ct
lead data engineer,149000.0,cloudflare,"coach, mentor, inspire and support a team of data engineers. develop technical tools and programming that leverage big-data techniques to cleanse, organize and…","['austin', ' tx']",austin, tx
"staff software engineer, data infrastructure",214000.0,discord,"we operate a petabyte-scale data warehouse and provide tools that empower the machine learning, data science, and business analysis teams at discord.","['san francisco', ' ca']",san francisco, ca
data analytics engineer,70900.0,thrive causemetics,we’re building a next generation data infrastructure and we are looking for a data analytics engineer who sits at a cross-section of strong data analyst skills…,['remote'],remote,
data analytics engineer,70900.0,thrive causemetics,setting up and maintaining timely and reliable ingestion of external data sources via our data loading platforms. 401k & up to 4% company match.,['remote'],remote,
data engineer,115871.09296740998,inxeption,design data integrations and data quality framework using aws cloud technologies. provide operational support for the data pipeline and perform data analysis…,"['cupertino', ' ca']",cupertino, ca
data engineer,115871.09296740998,bluevolt,build data systems and pipelines. explore ways to enhance data quality and reliability. develop a robust data architecture to meet the business requirements.,"['portland', ' or']",portland, or
data engineer - mid,140000.0,disruptive solutions,"our data engineers support data collection, ingestion, validation, and loading of optimized data in the appropriate data stores.",['remote'],remote,
data engineer,115871.09296740998,capgemini,we have a short-term need to augment a full stack d&a team with a specialized skill set in data engineeringspace dedicated to enabling data storage of…,"['des plaines', ' il']",des plaines, il
data engineer (remote),115871.09296740998,the hartford,"perform data analysis to ensure quality of data assets. create summary statistics/reports from data warehouses, marts, and operational data stores.","['chicago', ' il']",chicago, il
senior data engineer,150000.0,two barrels,"4+ years of experience working in a data engineer role, or related position. improve existing data models, and design new ones to meet the needs of data…",['remote'],remote,
senior r&d data engineer,115871.09296740998,fmc corporation,"drive and execute the vision for data and analytics strategy supporting a wide spectrum of data needs ranging from large scale data management, cloud…","['newark', ' de']",newark, de
data engineer,115871.09296740998,fusionspan,"acquire data from primary or secondary data sources and maintain databases/data systems,. a data engineer at fusionspan will be part of the cross-functional…",['remote'],remote,
data integration engineer,115871.09296740998,intertape polymer group,technical documentation requirements to ensure proper development and functionality of data warehouse tools and projects. data warehouse: 1 year (preferred).,['florida'],florida,
principal data engineer,115871.09296740998,curate insights,expertise in building data ingestion tools using technologies like python to extract data from relational databases/external api’s.,['remote'],remote,
data engineer,115871.09296740998,aretove technologies,"design, build, test and maintain data pipelines that collect, transform, load and curate data from various internal and external data sources.","['new york', ' ny']",new york, ny
sr. data engineer - ai- machine learning ( patient data),160000.0,change healthcare,"collaborate with product managers, data scientists and other engineers. lead elegant systems design and develop technologies to effectively ingest and store…",['remote'],remote,
data engineer,115871.09296740998,"double line, inc.","experience leveraging sql and/or etl development, data mapping, and data modeling to manage and organize client data. python or similar scripting languages.","['austin', ' tx']",austin, tx
"software engineer, data",115871.09296740998,fathom,experience building data pipelines from disparate sources. building performant and expressive interfaces to the data.,"['san francisco', ' ca']",san francisco, ca
data engineer,115871.09296740998,major league baseball,analyze data to discover and resolve data quality issues. create logical data products utilizing data modeling concepts to facilitate dashboard implementation…,"['new york', ' ny']",new york, ny
senior data analytics engineer,115871.09296740998,level home,"advanced sql skills to get the data you need from a data warehouse (e.g., bigquery, athena, redshift) and perform data segmentation and aggregation from scratch…","['draper', ' ut']",draper, ut
data engineer senior/intermediate,91000.0,university of michigan,experience processing large data sets using pandas. build and improve tooling to automate data pulls. history of prepare data for prescriptive and predictive…,"['ann arbor', ' mi']",ann arbor, mi
data engineer,115871.09296740998,"verinovum, inc.","help in translating business requirements into solutions leveraging data bases, data warehouses and data streams.",['remote'],remote,
senior mechanical engineer data centers,144090.0,mckinstry,"supervises, trains, and mentors project and lead engineers. every design choice is made toward one goal – delivering high performance buildings that ensure…","['seattle', ' wa']",seattle, wa
communications engineer (voice and data engineer),96985.5,loudoun county school district,"proven working experience supporting core infrastructure systems to include wired and wireless networking (lan/wan), data circuit management, firewall…","['ashburn', ' va']",ashburn, va
senior data engineer,163100.0,glassdoor,"the ideal candidate has significant experience in building scalable data platforms that enable analytics, data science and data products.","['san diego', ' ca']",san diego, ca
senior data science engineer,115871.09296740998,when i work,you are eager to use data to solve business problems and guide data-driven decision making across an entire organization. you have advanced sql skills.,"['minneapolis', ' mn']",minneapolis, mn
data center operations engineer i,115871.09296740998,"jpmorgan chase bank, n.a.","desire to develop a working knowledge of change management, corporate it audit processes, it risk management, technical problem resolution, operations systems,…","['aurora', ' co']",aurora, co
"data engineer, mid",115871.09296740998,jacobs,"works with data users to determine, create, and populate optimal data architectures, structures, and systems. participates in the employment of backend database…","['fort belvoir', ' va']",fort belvoir, va
data engineer,115871.09296740998,experfy inc,data engineers implement methods to improve data reliability and quality. previous experience as a data engineer or in a similar role.,['remote'],remote,
analytics data engineer - remote,115871.09296740998,medisolv,"5+ years working with healthcare data. in collaboration with the data science team and other engineers, you will be responsible for designing, testing,…","['columbia', ' md']",columbia, md
