title,company,description,location,salary,is_remote
statistician - part time,,"implement best data analyses procedures.review realistic data collection plans.create a customized data analysis plan.max 19 hours per week, hours vary.","rochester, mi",$35 an hour,0
data /software engineers,,"working with other software engineers; experience working with data scientists a plus; experience with data science tools, ml, etc. a plus.","seattle, wa",,0
data scientist,,"bs degree in statistics, machine learning, or data science.ms degree in statistics, machine learning, or data science.",united states,,0
data science,,"currently a masters higher education in a related field of study – e.g. computer science, nlp and ml.we cater to all the flagship products, applications and…","waltham, ma 02451",,0
"part-time faculty mathematics, statistics and/or data scienc...",,"part-time faculty mathematics, statistics and/or data science instructor.**montgomery college accepts applications for adjunct/part-time faculty on a…","montgomery county, md",,0
conservation data scientist - 21069,,"significant data science or computer science expertise.they have expertise in cloud-based data management and analysis, conservation science workflows, and…","washington, dc 20037 (west end area)",,0
data science fellowship program (pandemic response accountab...,,we're looking for individuals in the data science field with the requisite education and skills to provide data-driven insights and help solve complex problems…,"salt lake city, ut","$51,592 - $84,732 a year",0
"temporary data engineer, data science (remote)",,collaborate with data architecture and other data engineering groups maintaining a focus on operationalizing data flows in the service of data science and…,"chicago, il•remote",,1
"analyst, baseball research & development",,our r&d group helps shape the baseball operations decision-making processes through the analysis and interpretation of data.experience with r or python.,"saint petersburg, fl 33705",,0
research scientist- school of data science,,candidates must be proficient in programming using python and associated machine learning libraries and packages and have experience in the application of…,"charlottesville, va",,0
"ai/ml - data scientist, siri data",,"you think about data in terms of statistical distributions and have a big enough analytics toolbox to know how to find patterns in data, identify targets for…","seattle, wa",,0
associate data analyst,,"ensures business data and analysis requirements are met by properly applying data concepts, including data structures, collection and cleansing, and structured…","augusta, ga",,0
data science,,"all specialization areas in data science will be considered, however, preferred areas of expertise are data mining and visualization, cloud computing,…","rockville centre, ny 11571",,0
data scientist - resilience modeling,,"collaborate with an interdisciplinary team of software engineers and data scientists on cross-functional projects, interpreting data, and translating into…","menlo park, ca",,0
postdoctoral appointee - machine learning in material scienc...,,"phd in applied mathematics, computational science or engineering.knowledge and expertise in computational science and code development.","livermore, ca 94551",,0
developmental data scientist,,"ability to pursue a career in data science.you’ll learn how to write scripts to integrate data, conduct exploratory data analysis to discover hidden trends,…","mclean, va 22102",,0
postdoctoral positions: using machine learning for bias redu...,,"in addition to a quantitative background, the selected candidates will ideally have one or more of the following attributes: a) a strong background in physical…","princeton, nj 08544",,0
data scientist - personalization,,2 years of experience in data science or advanced analytics in industry.the primary purpose of this role is to provide advanced analytical capabilities to…,"charlotte, nc 28202 (downtown charlotte area)",,0
data modeler,,"work with the application development team to implement data strategies, build data flows and develop conceptual data models.","charlotte, nc 28201 (myers park area)•remote",,1
temporary lecturer - data science program,,"we seek applicants in all content areas related to data science including data analysis, programming, statistics, machine learning and visualization.","san diego, ca",,0
associate professor,,integrate advances in diverse fields of machine learning and computer science into modern analytics infrastructure and workflows.,"winston-salem, nc 27104",,0
"assistant scientist, data curation",,identify potential issues in data acquisition from the lc-ms instruments.bs degree in physical or mathematical science or equivalent stem degree.,"morrisville, nc 27560",,0
"postdoctoral fellowship, data institute",,"opportunity to mentor or co-mentor graduate students on industry practicum projects, which will expose the fellow to practical data science problems in industry…","san francisco, ca 94105 (financial district area)",,0
data scientist consultant - life science,,"a blend of data science capability, consulting expertise and industry experience (e.g. retail, cpg & loyalty), experienced storyteller with data and…","philadelphia, pa 19103+2 locations (logan square area)",,0
research data coordinator behavioral science,,"collects and enters patient's data into database including: demographic, outcomes data, and assessment data.utilizes motivational techniques to assist patients…","houston, tx 77030 (medical center area area)",,0
lecturer - data science - school of information,,"research design and data analysis.our mids program trains data scientists to manage and analyze the coming onslaught of big data, in a unique high-touch online…","berkeley, ca 94720","$61,930 - $162,227 a year",0
data scientist iii - 64038,,"serve as a data science and analytics team lead in a highly matrixed research environment, and as a data science project lead on multidisciplinary teams that…","philadelphia, pa 19146 (graduate hospital area)",,0
nlp developer,,"required skills4 - 6 years of professional experience in nlp programmingnlp programming in r and or python / anacondaheavy programming skills; linguistics, text…","charlotte, nc 28202 (third ward area)",,0
jpmwm - quant analytics - data & analytics - sr. associate,,"we have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…","columbus, oh",,0
"program design lead, data science",,create our data science content roadmap and be able to communicate our goals to key internal and external stakeholders and implement feedback on an ongoing…,remote•remote,,1
data scientist,,"we also offer many company-sponsored classes and conferences that focus on data science, ml, and engineering excellence.","redmond, wa 98052+3 locations (overlake area)",,0
jr data scientist,,develop custom data models and algorithms to apply to data sets.assess the effectiveness and accuracy of new data sources and data gathering techniques.,"santa monica, ca",,0
"data engineer, analytics (generalist)",,"collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights visually in a meaningful way.",remote+5 locations•remote,,1
data scientist - decision science,,"you will work closely with marketing, product, science and software teams to uncover insights and enable data-driven decision making across all areas of the…","san francisco, ca",,0
analyst - data science,,maintain and document work associated with analyses and data science products.collect and process data to perform statistical analyses.,"foxborough, ma 02035",,0
associate data scientist,,"as an associate data scientist, you will be involved first hand with actual data science projects and writing code that matters.","nashville, tn","Up to $114,660 a year",0
part time data science instructor,,has solid data science industry experience.preferably has teaching experience alongside data science.is a data scientist with outstanding knowledge of and…,remote•remote,,1
data scientist,,experience in sharing data science/machine learning experiment results with both technical and business oriented people.identify and propose new use cases.,remote•remote,,1
data scientist,,assess the effectiveness and accuracy of new data sources and data gathering techniques.develop processes and tools to monitor and analyze model performance…,"dodgeville, wi 53595",,0
data science and analytics lab engineer,,"we are a passionate, diverse team looking for data science professionals who can help us re-envision insurance in light of technical, societal, and consumer…","chicago, il","Up to $191,000 a year",0
"associate data scientist, ads",,perform analyses on large sets of data to extract actionable insights that will help drive product decisions.possess statistical competence (such as regression…,"new york, ny•remote",,1
statistical assistant,,performs data conversions to review calculations and averages to ensure publishable data.performs data collection and survey processing activities.,"reston, va•remote","$39,684 - $51,592 a year",1
"scientist, data science",,"1-year experience in data science with a focus on pricing analytics, statistical modeling, machine learning, forecasting and optimization.","portland, or 97209 (pearl district area)",,0
data scientists in biomedical data science - schmidt data x...,,"you will have access to princeton's first-class resources, the opportunity to co-author academic publications, to offer short courses and workshops on data…","princeton, nj 08544",,0
data engineer,,"this position develops, tests, and maintains scalable and efficient data pipelines to acquire and transform large volumes of structured and unstructured data,…","richmond, va",,0
"# 21-16 senior lecturer (online adjunct), ms data science, s...",,emphasis is on the role of data in developing business strategy.course explores the use of insights obtained from data to develop solutions to competitive…,"superior, wi•remote",,1
data science sr analyst,,"project and/or classroom experience in areas like data analysis, optimization, machine learning, supply chain management, pricing and promotion analysis,…","san francisco, ca+4 locations",,0
data scientist,,knowledge of statistics or data visualization is a plus.understanding the data which our clients provide to us;,"san mateo, ca+1 location",,0
instructional aide (temp) - masters of applied data science...,,umsi has an immediate need for instructional aides to support our online masters of applied data science program.administer and grade assignments using rubric.,"ann arbor, mi 48109",,0
data scientist,,"assess the effectiveness and accuracy of new data sources and data gathering techniques.implement best practices for data performance, automation, compliance,…","eagan, mn",,0
"adjunct instructor, business data science, online",,"engage in the classroom and reply to emails, students’ questions, etc. within 24 hours on non-holiday weekdays.be a faculty leader in your classes.",united states,,0
data scientist,,"design and implement model features using administrative claims data, engagement data, and other data sources.experience with healthcare data is a plus.",new york state•remote,,1
data scientist,,"establish links across existing data sources and find new, interesting data correlations.strong knowledge of core computer science principles including…","stamford, ct",,0
data scientist,,"experience with data mining and data visualization tools, such as alteryx, tableau etc.knowledge of data and analytics landscape.","toledo, oh 43615+1 location (reynolds corners area)",,0
data science lead customer analytics,,"engage with domain experts to define requirements for data science solutions, define and develop alternative approaches, training data creation and curation,…","creve coeur, mo",,0
global analytics associate,,computer sciences degree with data analysis/data science concentration.review/qc data to ensure accuracy of attribution reports.,"nashville, tn",,0
data scientist,,"analyzes and models structured data and implements algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine…","fort wayne, in 46845",,0
data scientist - healthcare,,"understanding of high performance algorithms and r statistical software ; experience in industry data science (e.g., machine learning, predictive maintenance);…","dayton, oh",,0
applied mathematician,,"you will be part of an experienced software development team and will be asked to solve challenging 3d problems that will impact how dentist scan, design, and…","richardson, tx",,0
data analyst iv,,"assists in developing data quality measures, analyzing data quality results, and implementing necessary changes to ensure data quality improvement.","austin, tx 78756 (brentwood area)","$4,917 - $8,060 a month",0
machine learning operations engineer,,"an expert cloud data /ml engineer with an eye for ai.minimum 1 year of design and implementation (building, containerizing and deploying end to end automated…","miami, fl 33126+7 locations (flagami area)",,0
"data scientist, lifetime value",,experience sourcing data for modeling from a star schema data warehousing architecture and feature engineering using sql.,"columbus, oh",,0
software development engineer - marketing analytics,,these systems should be designed to scale with exponential growth in data and run continuously.you will be designing analytic applications that capture data…,"irvine, ca",,0
applied social scientist,,"attention to detail, self-motivation, flexibility, and resilience are critical and data visualization skills are a plus.","fort meade, md","$72,750 - $113,362 a year",0
postdoctoral research associate: cognitive science + big dat...,,this person will conduct research that uses big data including text corpuses and theory-based as well as data-based (machine learning) interpretation of such…,"princeton, nj 08544",,0
data scientist/bioinformatician - scientific computing,,perform demographic data analyses to showcase the characteristics of specific data sets to convey the benefits of using the different data sets.,"new york, ny 10029 (east harlem area)",,0
machine learning engineer,,"supervising the data acquisition process if more data is needed.verifying data quality, and/or ensuring it via data cleaning.analysis- 50% of the time.",remote•remote,$75 an hour,1
data analytics engineer,,experience with common data science toolkits such as r & python.ensure data integrity through testing of results.proficient using query languages such as sql.,"raymond, oh 43067",,0
machine learning engineer (nlp),,"you will be working closely with our data science, product, engineering and care teams.dig into data with ad hoc analysis as necessary for technical, clinical,…",remote•remote,,1
"ai/ml - machine learning, engineer",,strong background in algorithms and data structures.utilizing spark hadoop mapreduce hive impala to perform distributed data processing pipelines.,"santa clara valley, ca 95014",,0
vp of product data science & engineering,,you have experience building and leading large and geographically distributed data science teams (100+).you have a deep technical background in applied data…,"los gatos, ca",,0
data science associate,,"experience and training in data science.the position participates as a member of the data science team in identifying and analyzing school data, proprietary…",remote•remote,,1
data scientist,,advise analysts and non-technical teams on issues where data science can make an impact.the key concerns of the data science team range from predicting the…,remote•remote,,1
applied research scientist (university grad),,"experience performing data extraction, cleaning, analysis and presentation for medium to large datasets.work cross-functionally to define problem statements,…","menlo park, ca 94025+2 locations",,0
full time opportunities for phd students or recent graduates...,,you will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,"redmond, wa 98052 (overlake area)",,0
data analytics associate,,"being the expert on where data originates, how they are mapped and utilized in our products, and ultimately what value data delivers to our customers.",remote•remote,"$95,000 - $105,000 a year",1
"recruiting lead, data science",,"as a recruiting lead on our data science sourcing & recruiting teams, you will work closely with recruiting and sourcing leaders, data science business leaders…","menlo park, ca 94025+11 locations",,0
"sr. full stack developer, decision science",,transform data science protypes and applying appropriate ml algorithms and tools.build data apis and data delivery services that support critical operational…,"atlanta, ga",,0
data scientist - global planning,,leverages data science methodology to solve complex business problems.partners with less experienced employees on data science tools and methodologies.,"columbus, in",,0
senior data scientist,,knowledge of data science technical stacks.dealing with the flood of sensor data requires us to build large-scale systems that ride the big data wave rather…,remote•remote,,1
ai consultant 3,,"the investments we are making will help the company create innovative digital banking experiences, and make it easier for customers to achieve their financial…","san francisco, ca+1 location",,0
applied data science director,,provide business ownership for the statistical tools and data analysis across the gsp data sciences efforts.in this vital role you will be a hands on technical…,"thousand oaks, ca",,0
visiting assistant professor of data science,,the department of data science and business analytics at florida polytechnic university invites applications for a visiting assistant professor position…,"lakeland, fl 33805",,0
ai/ml rotation program,,strong computer science fundamentals including familiarity with basic algorithms and data structures.strong object-oriented programming and design skills.,"seattle, wa",,0
"research scientist, statistics (core data science - phd)",,experience learning and applying state-of-the-art practices and methodologies for data disclosure including differential privacy and synthetic data generation.,"washington, dc 20004 (penn quarter area)",,0
"postdoctoral research scientist, applied perception science...",,experience with the modeling and analysis of 3d geometrical data using standard algebraic and/or quaternion-based methods.,"redmond, wa",,0
assistant professor of applied mathematics / data science,,"collaborative efforts between math, science, and education faculty recently led to the funding of two major grants (a uteach replication grant worth up to $1.4…","columbus, ga 31907",,0
assistant professor of data science,,"data science, and cybersecurity and graduate programs in data science, cyber security, and cyber risk.terminal degree in data science, computer science, or a…","erie, pa 16546",,0
"statistical programming leadership opportunity, late oncolog...",,"you will work in the oncology programming department that oversees and delivers global programming aspects of clinical development, leads and maintains the end…","gaithersburg, md 20878+1 location",,0
software development engineer - personalization,,"you are a software engineer with an interest in modern user interfaces, data science, machine learning, search, or recommendation systems.","irvine, ca",,0
data scientist,,"document data sources, data definitions, strategies, models and policies.strong data querying skills using sql, hands-on data analysis experience using sas or…","beaverton, or 97006 (triple creek area)",,0
assistant professor data analytics machine learning database...,,purdue university's department of computer and information technology invites applications for (2) tenure track faculty positions at the rank of assistant…,"west lafayette, in 47906",,0
data engineer,,"this role requires deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniques and…","franklin lakes, nj",,0
data science advisor (international markets),,work with data engineering to keep abreast of data enrichment including first and third party data.develop profit optimization models with data and through…,"bloomfield, ct",,0
"ai/ml - applied research scientist, mi sensing",,"in this role, you will work with time-series data from multiple sensors, build data and machine learning pipelines, help integrate models on-device to power new…","seattle, wa",,0
biomedical data scientist,,the department of biostatistics seeks a biomedical data scientist with expertise in biostatistical consulting and analysis of biomedical data including clinical…,"lexington, ky•remote","$54,142 - $89,315 a year",1
"ai/ml - applied research scientist, sensing experiences",,"in this role, you will work with time-series data from multiple sensors, build data and machine learning pipelines, help integrate models on-device to power new…","seattle, wa",,0
machine learning operations engineer,,"an expert cloud data /ml engineer with an eye for ai.minimum 1 year of design and implementation (building, containerizing and deploying end to end automated…","irving, tx 75039+7 locations (las colinas urban center area)",,0
researcher 5,,"develop, document and maintain analytic data files.demonstrated experience in large-scale data management.master's degree in statistics, biostatistics, data…","minneapolis, mn",,0
cybersecurity - multiple levels,,"noblis is looking for cleared candidates to fill it positions at varying levels with program management, systems engineering, information security, and data…","huntsville, al",,0
data engineering consultant,,"minimum of two years of experience in one or more of the following areas:- business translator (identifying business problem, initiative, analytics intervention…","irving, tx 75039+5 locations (las colinas urban center area)",,0
data scientist ngse,,experience in data engineering a plus.tableau / data visualization experience a plus.the candidate will also produce creative solutions to complex business…,"parsippany, nj 07054",,0
consumer & market knowledge - advanced analytics co-op (fall...,,have confirmed history from school or work experience that demonstrates an ability to lead a data science or analytics.,"cincinnati, oh 45201 (central business district area)",,0
machine learning engineer,,demonstrated experience working with and updating cached data.required skillsbachelors degree in computer science/ related degree or equivalent working…,"pennington, nj 08534",,0
senior data scientist - nationwide opportunities,,"6+ years of industry experience in predictive modeling, data science, and analysis.experience handling terabyte size datasets, diving into data to discover…",remote•remote,,1
"ai/ml - embedded data scientist, siri data",,"you think about data in terms of statistical distributions and have a big enough analytics toolbox to know how to find patterns in data, identify targets for…","seattle, wa",,0
climate health data scientist,,"experience working with publicly available socio-demographic data, including us census data, local government data, and publicly available geographic data.","mclean, va",,0
data scientist - time series and physiological waveforms,,"generate insights from diverse data types, including physiological waveforms, bedside monitoring data, and data from electronic medical records.","cambridge, ma 02141 (east cambridge area)",,0
sr data scientist -- pharma -- claims -- sas -- sql,,manipulate and / or build query statements to perform data extracts across multiple data sets and platforms.to translate data into intelligence.,remote•remote,,1
data scientist,,"3+ years of experience in a data science capacity or the equivalent academic experience.experience with systems-level data science toolkits (scikit-learn,…","miami, fl",,0
statistician,,review case report forms to ensure appropriate data collection.review edit checks algorithm to ensure data quality for statistical analyses.,"san diego, ca",,0
senior computational biologist (data science),,a team of data scientists and data engineers.be part of and lead team of data scientists and data engineers.knowledge of computer science concepts.,"san francisco, ca",,0
data scientist,,at least 1 year of solid data science industry experience.improving our data engineering and workflow.metis data scientists provide incredible and inspiring…,remote•remote,,1
data scientist - severe weather,,2 years of experience in data science or advanced analytics in industry.the primary purpose of this role is to provide advanced analytical capabilities to…,"charlotte, nc 28202 (downtown charlotte area)",,0
mathematical statistician,,"experience includes conducting energy studies and developing mathematical methods and techniques; developing mathematical/statistical techniques, approaches and…","anchorage, ak•remote","$64,649 - $166,502 a year",1
"applied science manager, aws health ai",,"phd degree in a quantitative field (computer science, electrical engineering, mathematics, physics, or similar).fluency in written and spoken english.","seattle, wa",,0
lead data scientist (nlp specialist),,"hands-on experience with data science platforms, e.g., h2o, databricks, domino data etc. is a plus.managing and leading a team of data scientists will be a…","birmingham, al",,0
"computational scientist, machine learning",,"ph.d. in computational biology, chemical engineering, computer science, physical or biological sciences, machine learning, or related discipline.","cambridge, ma",,0
"data scientist, messaging",,perform analysis on large sets of data to extract impactful insights that will help drive product decisions.possess statistical competence (such as regression…,"new york, ny",,0
"data scientist, productivity engineering insights",,"collaborate closely with engineers, data scientists and team leads across the mission to build and promote shared methods to take data advised decisions.","new york, ny•remote",,1
applied research scientist i_clinical science,,has a strong quantitative science background.develop novel analytics for visualizing and interpreting single-cell omics data.,"tampa, fl 33612",,0
"data engineer, analytics (integrator)",,"collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights visually in a meaningful way.",remote+3 locations•remote,,1
"data analyst, quality systems & data science",,acquire data from primary or secondary data sources and maintain databases/data systems to empower operational and exploratory analysis.,"fremont, ca",,0
associate data scientist,,this is a great opportunity for fresh ms and phd graduates who want to start their career in data science.experience in data manipulation and cleaning.,"birmingham, al",,0
"data scientist, analytics - instagram notification systems",,"additionally, the person would work with cross-functional partners and other data scientists across instagram and facebook, communicating findings and…",remote+1 location•remote,,1
data collection and labeling technician - entry level data s...,,create data annotation polygons using custom image marking tools.current or prior experience working with external usb drives and transferring data.,"tewksbury, ma 01876",,0
data scientist,,develop data modeling and data driven solutions based on business requirements.define data quality gaps and make recommendations.,"richfield, mn+4 locations",,0
data scientist,,minimum of 3-years experience in the data science/machine learning field.work with all teams within the company to identify areas where data science can…,remote•remote,,1
associate data scientist,,1-3 years of experience in data science and advanced data analytics.familiar with model and data pipelines.the associate data scientist is responsible for the…,remote•remote,,1
postdoctoral fellow,,broader programs of research concerned with eliminating disparities in access to and/or outcomes in health that could be enhanced through application of new…,"san antonio, tx 78249",,0
principal applied scientist,,we are seeking a passionate and talented principal applied scientist who will collaborate with other scientists and engineers to leverage machine learning…,"san diego, ca",,0
senior data scientist,,turn data models and algorithms into software and evaluate model effectiveness by conducting tests on large sets of historical data.,"herndon, va",,0
part-time instructor: data analytics and data science (onlin...,,we are seeking qualified applicants possessing current knowledge and teaching experience in all aspects of data analytics and data science including: data…,"irvine, ca•remote",,1
senior data scientist,,"transform data into actionable insights and recommendations.rest api’s to leverage disparate data sources.processing, cleansing, and verifying the integrity…",illinois+1 location,,0
"manager, shopper insights",,"comfortable with the ambiguous; balancing data science and data art.leverage customer specific data to drive sound omnichannel propositions, recommendations,…",remote,,1
lead data scientist - clinical trials,,"5+ years of data science experience in business setting including collaborating with business partners to understand problems, gather business requirements,…","woonsocket, ri",,0
sports statistician,,experience tracking full statistical data for basketball games.the statistician assists in the execution of ultimate hoops basketball league by tracking full…,"frontenac, mo 63131",,0
"director, data science, r&d",,responsible for coordinating data governance efforts for data science and scientific research.experience with production level data science systems (3 years).,"pittsburgh, pa",,0
"principal, science & analytics",,apply machine learning and data mining techniques to discover patterns from complex residential property data.,"san diego, ca 92131 (scripps ranch area)",,0
sr data science engineer,,collaborate with data scientists to analyze and select appropriate data models and algorithms that focus on improving clinical trials across multiple…,"thousand oaks, ca",,0
data engineer,,"experience with automation and improving overall data quality.our team is responsible for building data products/capabilities on the data platform, that will…","enfield, ct",,0
sr. analyst data science,,combines data as needed from disparate data sources to complete analysis.follows best practices and established policies in business intelligence data analysis…,"centennial, co",,0
teaching fellows in data science,,"the appointment would be made at the visiting assistant professor level and carry a teaching load of 3 quarter-length courses/year, focusing on upper-division…","santa barbara, ca 93106",,0
mathematics,,duties of the position: part-time positions teaching undergraduate statistics courses including general introductory statistics along with those oriented toward…,"east bay, ca",,0
senior product data analyst,,"2-4 years of experience in data analysis (experience in consumer internet, digital marketing or saas product data a plus).","cambridge, ma 02141 (east cambridge area)",,0
data science co-op,,"this position is an opportunity to collaborate with a fast-growing and globally focused network of data scientists, machine learning engineers, and ai…","salisbury, nc 28144+2 locations",,0
data analyst,,"identify trends in financial data and risk factors for businesses, process large amounts of collected data and make use of increased data points to increase…","san francisco bay area, ca",,0
data scientist - laramie,,2+ years of data science experience.experience with multiple data science environments and tools.create algorithms for data cleaning.,"laramie, wy 82070",,0
data engineer,,"collaborate with data scientists to prepare data for machine learning applications (predictive analytics, natural language processing, etc.).",remote•remote,,1
data scientist,,contribute on all the stages of data science projects: from performing raw data mining to translating complex technical topics into business solutions.,"fremont, ca",,0
early careers | financial modeling & research | atlanta,,"playing a key role in measuring, reporting and forecasting the profitability of the firm’s complex products and services, colleagues that focus on accounting…","atlanta, ga 30326+7 locations (north buckhead area)",,0
data analyst,,demonstrated experience applying data science methods to real-world data problems.undertake preprocessing of structured and unstructured data.,texas•remote,,1
"analyst, customer analytics & data science",,"pulling data, joining, and manipulating large datasets to support customer data warehouse, self-service data platform/tools and adhoc analyses.","new york, ny 10281 (battery park area)",,0
data engineer 2,,automating data science and machine learning algorithms.experience with big data technologies.we also offer many company-sponsored classes and conferences…,"redmond, wa 98052 (overlake area)",,0
"data science and analytics engineer, intermediate (mitre nat...",,"interdisciplinary background with at least of one of those disciplines being data science, computer science, or a related field.","mclean, va",,0
associate data scientist,,"ability to engage in the data science process, including data exploration, model development and evaluation, training, validation, and deployment.","boston, ma",,0
data scientist,,"data analysis techniques (e.g., data mining and retrieval);effective data management, data dissemination, and online on-demand practices.","arnold, mo","$65,597 - $134,798 a year",0
research analyst (data science),,the data science research analyst will support apco insight data science team members in executing advanced data analytics assignments on behalf of the…,"washington, dc 20005+1 location (logan circle area)",,0
driveway data analyst,,"1-3 years of experience in data analysis with emphasis on data and analytics.developing and implementing data analyses, data collection systems and other…",north carolina•remote,,1
principal data scientist (bioinformatics) - sustainability,,"be a thought leader for data science methods for bioinformatics and genetics.background in molecular biology, genomics, or similar, combined with experience…","champaign, il•remote","$91,000 - $130,000 a year",1
federal - data scientist,,"extracting data, aggregating, and structuring data along different dimensions.work with large data sets to solve complex problems.","arlington, va",,0
business data analyst,,experience with preparing large data sets for analysis.0-2 years of experience during coursework or as a data scientist in formal setting.,"mountain view, ca 94041",,0
"data tech, social science research institute",,clean and analyze data (includingpsychophysiology data).assist in collecting and analyzing data.the duke interdisciplinary behavioral research center (ibrc)…,"durham, nc 27710 (duke west campus area)",,0
data scientist,,experience working with and creating data architectures.participate in the planning of complex data and analytics strategy.completion of master’s degree.,remote•remote,,1
data science engineering manager,,collaborate with business stakeholders across the company to plan and execute valuable data science projects.you will be a direct contributor as well as mentor…,"boston, ma",,0
data scientist,,"candidates for the nsa's data scientist roles are asked to complete a data science examination evaluating their knowledge of statistics, mathematics, and…","fort meade, md","$103,690 - $159,286 a year",0
data and applied scientist – natural language processing – m...,,"in this capacity, you will develop datasets, data processing pipelines, statistical data analyses, and data documentation for research projects and…","redmond, wa 98052 (overlake area)",,0
data scientist,,familiarity with various data science pipelines and lifecycles for iterating models such as unix/liux pipelines would be ideal.,remote•remote,,1
"assistant physicist, control systems",,"knowledge of accelerator data management.understand accelerator data, how data is structured and managed, code development, documentation and proper code…","upton, ny 11973",,0
"associate manager, data science institute (dsi), dsi, data a...",,"ms in data science, computer science or other data-related field (exceptional bachelors degree considered).contribute to data-driven projects through hands-on…","boston, ma",,0
uber eats - data science leadership,,"strong expertise in data science/machine learning.your deep technical knowledge will allow you to work across data science, product and engineering teams…","new york, ny",,0
emerging ai engineer,,"as an experienced member of our engineering team, you will be responsible for rapid iterations on experimental technologies and models with the goal of maturing…","newark, de 19713",,0
"vp, data science",,develop data science solutions that can be tested and deployed to enable data-driven recommendations and outcomes.,"jersey city, nj",,0
data engineer,,"use python and sql to assist with data cleaning, data profiling, and data exploration.although not a data scientist, you’ll be fully integrated into our data…",remote•remote,,1
data platforms group college graduate rotation program profe...,,"the data center is the underpinning for every data-driven service, from artificial intelligence to 5g to high-performance computing, and dcg delivers the…","hillsboro, or 97124",,0
data migration resource,,"the consultant should have thorough experience in migrating data from local shared drives to box cloud, including mirroring permissions.","new york, ny",,0
clinical data scientist,,"conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.",united states,,0
data scientist - remote,,"actively participate as a contributing member on a team of data scientists through the whole workflow from data access, processing and modeling, to data…","chicago, il•remote",,1
ccb data & analytics financial analysis associate,,"proficiency with data mining/gathering and manipulation of data sets.the team encompasses a variety of disciplines, from data governance and data strategy…","columbus, oh",,0
research data analyst,,proficiency in statistical analysis of clinical research data using data science programming languages such as python and r.,"belmont, ma 02478",,0
full stack react + python dev / ai software (remote),,by creating an automated dashboard that unifies all the customer-centric data and machine learning models that identify issues before they become an escalation.,"santa monica, ca 90404•remote",,1
data scientist,,"work with data engineers to retrieve, clean and normalize data.identify strong ai/ml use cases in cloud security, data security and adjacent domains,…",california•remote,,1
decision scientist,,"experience building and troubleshooting data processes in sql.four-year bachelor's degree in statistics, mathematics, economics, engineering, the physical…","richfield, mn 55423",,0
data scientist,,develop experiments to collect data or models to simulate data when required data are unavailable.produce data visualizations that provide insight into data…,"annapolis junction, md 20701+2 locations",,0
"statistical programming leadership opportunity, late oncolog...",,"you will work in the oncology programming department that oversees and delivers global programming aspects of clinical development, leads and maintains the end…","waltham, ma 02451+1 location",,0
data engineer,,"manage data pipelines and delivery between data storage and end users.provide support, guidance and collaboration with team members to identify new data…","lakeland, fl 33801 (crystal lake area)",,0
data scientist,,lead or support formal and/or informal training for fellow data science team members or other teams in the organization on the various tools used and created…,"coraopolis, pa 15108",,0
ph.d. position: data science and modeling in water,,,"pittsburgh, pa 15213 (north oakland area)",,0
data science advisor (medicare health services & revenue man...,,"collaborate with matrix partners to understand project developments, assess impacts to data and analytics.identify, analyze and interpret trends or patterns in…","bloomfield, ct",,0
data scientist (telemedicine analytics),,"4+ years experience with a background in data science, statistical methods and testing, and model development.virtual tour of forward [youtube].","san francisco, ca",,0
data scientist,,"demonstrated technical skills including sql, python and data science libraries evidenced by experience working with complex data sets and managing data…","newberg, or 97132",,0
data scientist (nlp),,can present numerical data orally and in writing or through graphics.enhancing data collection procedures to include information that is relevant for building…,remote•remote,,1
junior data scientist,,"transform data and insights into compelling and creative visualizations.you have experience using applied statistics, and you’re comfortable working with…","new york, ny",,0
jr. bi engineer,,"managing and monitoring multiple data pipelines and etl tasks related to multiple client data streams.working with various paid media client services, account…",remote+3 locations•remote,,1
data scientist,,"apply data science methods principles to test-and-control study design, implementation, and analysis.interface with various database platforms to pull data and…","new york, ny•remote",,1
data science engineer,,"demonstrated experience in analysis and reporting of data-rich, logic-heavy functions; and identifying trends and indicators in the data.",remote•remote,,1
"data product engineer, revenue science",,"experience with large-scale data warehousing architecture and data modeling.as a member of the data product engineering team, you will work closely with…","san francisco, ca 94103 (south of market area)",,0
associate applied data scientist,,"using big data, deep expertise and ai-driven platforms to decode the 21st century human experience – then redefine it in meaningful and surprising ways that put…","west sacramento, ca",,0
"senior data scientist, programming responsibility",,great skills in risk evaluation metrics development is a must as is significant experience in data ecosystems and data collection strategies.,"new york, ny•remote",,1
"senior manager, marketing and data science",,"5+ years experience in a data modeling-related field with experience in predictive analytics, clustering, dimension reduction, and experimental designs in…","philadelphia, ny",,0
data analyst,,"develop, test, and deploy new data science models according to client needs.visualize the results of data analysis and reporting to be of optimal value and…","arlington, va+1 location",,0
executive director - distribution & geospatial data science,,"3+ years of experience managing analysis / data science teams.maintains industry leading knowledge of data science theory and techniques, particularly as…","columbus, oh",,0
